name,address,website,business group,matched business type,Skill IDs,Skill Names,Skill Source
L.A. County Animal Control,"38550 Sierra Hwy, Palmdale, CA 93550, United States",https://animalcare.lacounty.gov/,Animal Care And Services,Animal Shelter,,,none
Animal Urgent Care K-Town,"3035 W Olympic Blvd, Los Angeles, CA 90006, United States",https://www.animalurgentcare.vet/,Animal Care And Services,Animal Shelter,,,none
VCA Animal Specialty Group,"4641 Colorado Blvd, Los Angeles, CA 90039, United States",https://vcahospitals.com/animal-specialty-group-los-angeles?utm_source=maps&utm_medium=organic&utm_campaign=AU_1129,Animal Care And Services,Vetinary Services,,,none
Pet Care Inc.,"2500 E Cesar E Chavez Ave, Los Angeles, CA 90033, United States",,Animal Care And Services,Pet Training,,,none
ACCESS Specialty Animal Hospitals - Los Angeles,"9599 Jefferson Blvd, Culver City, CA 90232, United States",https://www.thrivepetcare.com/locations/california/culver-city/access-animal-hospitals-los-angeles/?utm_source=gmb&utm_medium=web,Animal Care And Services,Vetinary Services,,,none
City of Angels Veterinary Specialty Center,"9599 Jefferson Blvd, Culver City, CA 90232, United States",https://www.thrivepetcare.com/locations/california/culver-city/access-animal-hospitals-los-angeles,Animal Care And Services,Vetinary Services,,,none
VCA West Los Angeles Animal Hospital,"1900 S Sepulveda Blvd, Los Angeles, CA 90025, United States",https://vcahospitals.com/west-los-angeles?utm_source=maps&utm_medium=organic&utm_campaign=AU_101,Animal Care And Services,Vetinary Services,,,none
Agoura Animal Care Center,"29525 Agoura Rd, Agoura Hills, CA 91301, United States",http://animalcare.lacounty.gov/,Animal Care And Services,Animal Shelter,,,none
Angeles Vista Pet Medical Center,"4414 Crenshaw Blvd, Los Angeles, CA 90043, United States",http://angelesvistapet.com/,Animal Care And Services,Pet Training,,,none
LA Area Pet Care,"250 N Robertson Blvd, Beverly Hills, CA 90211, United States",https://www.ranchoparkveterinaryclinic.com/beverly-hills.html,Animal Care And Services,Pet Training,,,none
Eagle Rock Animal Emergency,"4254 Eagle Rock Blvd, Los Angeles, CA 90065, United States",http://www.erae.vet/,Animal Care And Services,Animal Shelter,,,none
Los Angeles Veterinary Center,"109 N Boyle Ave, Los Angeles, CA 90033, United States",https://laveterinarycenter.com/,Animal Care And Services,Vetinary Services,,,none
Green Dog & Cat Hospital,"1544 W Slauson Ave, Los Angeles, CA 90047, United States",https://allvetnearme.com/green-dog-and-cat-hospital/,Animal Care And Services,Vetinary Services,,,none
L A Central Animal Hospital,"220 W Ave 26, Los Angeles, CA 90031, United States",http://www.lacentralanimalhospital.com/,Animal Care And Services,Animal Shelter,,,none
CAMP Clinic - Los Angeles,"3612 11th Ave, Los Angeles, CA 90018, United States",http://www.campla.org/,Animal Care And Services,Animal Shelter,,,none
L.A. Pet Clinic,"5853 Melrose Ave, Los Angeles, CA 90038, United States",,Animal Care And Services,Pet Training,,,none
Animal Care Hospital,"4952 LA-22, Mandeville, LA 70471, United States",,Animal Care And Services,Animal Shelter,,,none
ARK ANIMAL HOSPITAL,"2901 W Exposition Blvd, Los Angeles, CA 90018, United States",https://arkanimalhospitalvets.com/,Animal Care And Services,Animal Shelter,,,none
The ASPCA Los Angeles Spay/Neuter Clinic,"1850 W 60th St, Los Angeles, CA 90047, United States",https://www.aspca.org/animal-protection/los-angeles-initiative/aspca-los-angeles-spay-neuter-clinics/la-spayneuter-clinic,Animal Care And Services,Vetinary Services,,,none
Eagle Rock Pet Care,"4000 Eagle Rock Blvd, Los Angeles, CA 90065, United States",https://eaglerockpetcare.com/,Animal Care And Services,Pet Training,,,none
Care Animal Hospital,"8044 Kipling St, Arvada, CO 80005, United States",https://www.careanimal.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTE2Njg3MjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Animal Care And Services,Animal Shelter,,,none
spcaLA Pet Adoption Center,"5026 W Jefferson Blvd, Los Angeles, CA 90016, United States",https://spcala.com/adoptable/,Animal Care And Services,Animal Shelter,,,none
Park La Brea Veterinary Care,"477 S Fairfax Ave, Los Angeles, CA 90036, United States",http://www.parklabreavets.com/,Animal Care And Services,Vetinary Services,,,none
Animal Care Hospital,"7034 Johnston St, Lafayette, LA 70503, United States",https://achlafayette.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=website,Animal Care And Services,Animal Shelter,,,none
North Hollywood Animal Care Center,"11561 Oxnard St, North Hollywood, CA 91606, United States",http://nhacc.vetstreet.com/,Animal Care And Services,Animal Shelter,,,none
Animal Urgent Care,"126 E Alameda Ave, Burbank, CA 91502, United States",https://www.animalurgentcare.vet/,Animal Care And Services,Animal Shelter,,,none
Metropolitan Animal Specialty Hospital (MASH),"6565 Santa Monica Blvd, Los Angeles, CA 90038, United States",https://www.mash.vet/?utm_source=gmb&utm_medium=organic&y_source=1_MTk4ODYxNTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Animal Care And Services,Vetinary Services,,,none
DTLAvets - Wellness and Urgent Care Services,"333 S Spring St, Los Angeles, CA 90013, United States",http://dtlavets.com/,Animal Care And Services,Vetinary Services,,,none
California Animal Rehabilitation,"2237 Colby Ave, Los Angeles, CA 90064, United States",https://www.calanimalrehab.com/,Animal Care And Services,Pet Training,,,none
VCA ASEC,"1535 S Sepulveda Blvd, Los Angeles, CA 90025, United States",https://vcahospitals.com/animal-specialty-emergency?utm_source=maps&utm_medium=organic&utm_campaign=AU_1061,Animal Care And Services,Vetinary Services,,,none
Lancaster Animal Care Center,"5210 W Ave I, Lancaster, CA 93536, United States",http://animalcare.lacounty.gov/,Animal Care And Services,Animal Shelter,,,none
Grand Park Animal Hospital,"333 S Alameda St Ste 222, Los Angeles, CA 90013, United States",https://www.grandparkvets.com/,Animal Care And Services,Animal Shelter,,,none
Humane World for Animals - Pets for Life,"2940 1st St, Los Angeles, CA 90033, United States",http://humaneworld.org/,Animal Care And Services,Animal Shelter,,,none
Modern Animal,"4850 Hollywood Blvd, Los Angeles, CA 90027, United States",https://www.modernanimal.com/locations/los-angeles/los-feliz/,Animal Care And Services,Animal Shelter,,,none
Los Feliz Small Animal Hospital,"3166 Los Feliz Blvd, Los Angeles, CA 90039, United States",https://lfsah.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp,Animal Care And Services,Animal Shelter,,,none
Vet Care Animal Center,"13815 Sayre St, Sylmar, CA 91342, United States",http://vetcareanimalcenter.com/,Animal Care And Services,Vetinary Services,,,none
VCA Animal Medical Center of Southern California,"2340 S Sepulveda Blvd, Los Angeles, CA 90064, United States",https://vcahospitals.com/animal-medical-center-southern-california?utm_source=maps&utm_medium=organic&utm_campaign=AU_1351,Animal Care And Services,Vetinary Services,,,none
Angel City Animal Hospital,"4364 Fountain Ave, Los Angeles, CA 90029, United States",https://angelcityvet.com/,Animal Care And Services,Animal Shelter,,,none
West Valley Animal Shelter,"20655 Plummer St, Chatsworth, CA 91311, United States",http://www.laanimalservices.com/shelters/,Animal Care And Services,Animal Shelter,,,none
Best Friends Pet Adoption Center,"1845 Pontius Ave, Los Angeles, CA 90025, United States",https://bestfriends.org/los-angeles,Animal Care And Services,Pet walking,,,none
Kinder 4 Rescue Low Cost Pet Clinic,"5308 Vineland Ave, North Hollywood, CA 91601, United States",http://kinder4rescue.org/,Animal Care And Services,Animal Shelter,,,none
Anaheim Animal Care & Pet Hospital,"1177 N Magnolia Ave, Anaheim, CA 92801, United States",https://anaheimanimalcare.com/,Animal Care And Services,Animal Shelter,,,none
Pacific Animal Clinic,"11343 Santa Monica Blvd, Los Angeles, CA 90025, United States",http://www.pacificanimalclinic.com/,Animal Care And Services,Animal Shelter,,,none
PetRadar: Lost Cat & Missing Cat Search Los Angeles,"633 W 5th St, Los Angeles, CA 90071, United States",https://www.petradar.org/en/lost-cats/us/los%20angeles,Animal Care And Services,Pet Sitting,,,none
Affordable Animal Hospital Silver Lake,"2417 Riverside Dr, Los Angeles, CA 90039, United States",https://www.affordableanimalhospitalsilverlake.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,Animal Care And Services,Animal Shelter,,,none
Vermont Animal Hospital,"1502 S Vermont Ave, Los Angeles, CA 90006, United States",https://www.vermontanimalhospital.com/,Animal Care And Services,Vetinary Services,,,none
Overland Veterinary Clinic,"3465 Overland Ave, Los Angeles, CA 90034, United States",https://overlandvetclinic.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTMzMjI3NDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Animal Care And Services,Vetinary Services,,,none
Melrose La Brea Animal Hospital,"7116 Melrose Ave, Los Angeles, CA 90046, United States",http://melrose-labreaanimalhospital.com/,Animal Care And Services,Animal Shelter,,,none
Animal Care Equipment & Services,"555 Alter St #19a, Broomfield, CO 80020, United States",http://www.animal-care.com/,Animal Care And Services,Vetinary Services,,,none
Modern Animal - La Brea,"359 S La Brea Ave, Los Angeles, CA 90036, United States",https://www.modernanimal.com/locations/los-angeles/la-brea,Animal Care And Services,Animal Shelter,,,none
Modern Animal,"10023 Jefferson Blvd, Culver City, CA 90232, United States",https://www.modernanimal.com/locations/los-angeles/culver-city,Animal Care And Services,Animal Shelter,,,none
Modern Animal,"8122 Beverly Blvd, Los Angeles, CA 90048, United States",https://www.modernanimal.com/locations/los-angeles/west-hollywood/,Animal Care And Services,Animal Shelter,,,none
Paw Priority: Veterinary Urgent and Primary Care,"8020 Melrose Ave, Los Angeles, CA 90046, United States",https://pawpriority.vet/,Animal Care And Services,Pet Training,,,none
West LA Veterinary Group,"10749 W Pico Blvd, Los Angeles, CA 90064, United States",https://wlavg.com/,Animal Care And Services,Animal Shelter,,,none
Southpaw Vets,"13520 Ventura Blvd, Sherman Oaks, CA 91423, United States",http://www.southpawvets.la/,Animal Care And Services,Vetinary Services,,,none
Beverly Robertson Veterinary Clinic,"1800 S Robertson Blvd #8, Los Angeles, CA 90035, United States",http://www.beverlyrobertsonvet.com/,Animal Care And Services,Vetinary Services,,,none
Modern Animal,"301 W Olympic Blvd, Los Angeles, CA 90015, United States",https://www.modernanimal.com/locations/los-angeles/downtown-los-angeles,Animal Care And Services,Animal Shelter,,,none
Amazing Small Animal Practice,"14800 S Western Ave, Gardena, CA 90249, United States",http://www.amazingsmallanimalpractice.com/,Animal Care And Services,Pet Training,,,none
Best Friends Animal Hospital,"5425 Laurel Canyon Blvd, Valley Village, CA 91607, United States",https://bestfriendsanimalhospital.com/?utm_source=GMB-Website&utm_medium=GMB%20Page&utm_campaign=GMB%20Page,Animal Care And Services,Animal Shelter,,,none
North Figueroa Animal Hospital,"5550 N Figueroa St, Highland Park, CA 90042, United States",http://www.nfahvet.com/,Animal Care And Services,Animal Shelter,,,none
Glendale Small Animal Hospital,"831 W Milford St, Glendale, CA 91203, United States",http://www.gsah.com/,Animal Care And Services,Animal Shelter,,,none
Beverly Hills Small Animal Hospital,"353 Foothill Rd, Beverly Hills, CA 90210, United States",http://bhsah.com/,Animal Care And Services,Animal Shelter,,,none
Primary Care Animal Hospital,"2200 N Lakewood Blvd, Long Beach, CA 90815, United States",http://www.primaryvetcare.com/,Animal Care And Services,Animal Shelter,,,none
Los Angeles Veterinary Center,"1864 W Jefferson Blvd, Los Angeles, CA 90018, United States",https://www.laveterinarycenter.com/,Animal Care And Services,Vetinary Services,,,none
Modern Animal,"1901 Westwood Blvd, Los Angeles, CA 90025, United States",https://www.modernanimal.com/locations/los-angeles/west-la,Animal Care And Services,Animal Shelter,,,none
Shatto Veterinary Center,"3130 W 6th St, Los Angeles, CA 90020, United States",https://shattovet.com/,Animal Care And Services,Vetinary Services,,,none
Best care pet clinic,"1140 N Pacific Ave, Glendale, CA 91202, United States",http://theanimalsound.com/,Animal Care And Services,Pet Training,,,none
The Melrose Vet,"8304 Melrose Ave, Los Angeles, CA 90069, United States",https://www.themelrosevet.com/appointments/,Animal Care And Services,Vetinary Services,,,none
Modern Animal,"224 W Colorado St Suite 102, Glendale, CA 91204, United States",https://www.modernanimal.com/locations/los-angeles/glendale,Animal Care And Services,Animal Shelter,,,none
Hollywood Cat And Dog Hospital,"1146 N La Brea Ave, Hollywood, CA 90038, United States",http://hollywoodcatdog.com/,Animal Care And Services,Vetinary Services,,,none
Mohawk Alley Animal Hospital,"2162 W Sunset Blvd, Los Angeles, CA 90026, United States",https://mohawkalleyanimalhospital.com/,Animal Care And Services,Animal Shelter,,,none
Olympic Pet Hospital,"4125 W Olympic Blvd, Los Angeles, CA 90019, United States",,Animal Care And Services,Pet Training,,,none
Pasternak Veterinary Center,"2038 S Sepulveda Blvd, West Los Angeles, CA 90025, United States",http://www.pasternakvetcenter.com/,Animal Care And Services,Vetinary Services,,,none
Sunnycrest Animal Care Center,"951 W Bastanchury Rd, Fullerton, CA 92835, United States",https://www.sunnycrestanimalcare.com/,Animal Care And Services,Animal Shelter,,,none
Aspire Veterinary Center,"30 Centerpointe Dr STE 6, La Palma, CA 90623, United States",http://aspirevetcenter.com/,Animal Care And Services,Vetinary Services,,,none
Metropolitan Animal Specialty Hospital Outpatient,"6611 Santa Monica Blvd, Los Angeles, CA 90038, United States",https://www.mash.vet/services#mash-outpatient,Animal Care And Services,Vetinary Services,,,none
Cahuenga Veterinary Hospital,"825 N Cahuenga Blvd, Los Angeles, CA 90038, United States",https://www.cahuengaveterinaryhospital.com/,Animal Care And Services,Vetinary Services,,,none
Beverly Pet Clinic,"4655 Beverly Blvd, Los Angeles, CA 90004, United States",http://www.beverlypetclinic.com/,Animal Care And Services,Pet Training,,,none
Center Sinai Animal Hospital,"10737 Venice Blvd., Los Angeles, CA 90034, United States",http://centersinaianimalhospital.com/,Animal Care And Services,Animal Shelter,,,none
Family Pet Clinic of Redondo Beach,"2006 Artesia Blvd, Redondo Beach, CA 90278, United States",http://familypetclinicrb.com/,Animal Care And Services,Pet Training,,,none
Marina Veterinary Center,"8421 Lincoln Blvd, Los Angeles, CA 90045, United States",https://www.marinavet.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp,Animal Care And Services,Vetinary Services,,,none
Media City Animal Hospital,"1509 W Burbank Blvd, Burbank, CA 91506, United States",http://www.mediacityvets.com/,Animal Care And Services,Animal Shelter,,,none
Laurel Pet Hospital,"7970 Santa Monica Blvd, West Hollywood, CA 90046, United States",https://www.laurelpethospital.com/,Animal Care And Services,Vetinary Services,,,none
Animal Specialty Group Inc: Sullivan Stacey DVM,"4641 Colorado Blvd, Los Angeles, CA 90039, United States",https://vcahospitals.com/animal-specialty-group-los-angeles,Animal Care And Services,Pet Training,,,none
Bay Animal Hospital,"1801 N Sepulveda Blvd, Manhattan Beach, CA 90266, United States",https://bayanimalhosp.com/,Animal Care And Services,Animal Shelter,,,none
Sepulveda Animal Hospital,"4300 Sepulveda Blvd, Culver City, CA 90230, United States",https://www.sepulvedaanimalhospital.com/?utm_source=gmb&utm_medium=organic,Animal Care And Services,Vetinary Services,,,none
Modern Animal,"12775 Millennium Dr Suite 115, Los Angeles, CA 90094, United States",https://www.modernanimal.com/locations/los-angeles/playa-vista,Animal Care And Services,Animal Shelter,,,none
Modern Animal,"12157 Ventura Blvd, Los Angeles, CA 91604, United States",https://www.modernanimal.com/locations/los-angeles/studio-city,Animal Care And Services,Animal Shelter,,,none
Big Top Animal Care,"11595 Riverside Dr, North Hollywood, CA 91602, United States",,Animal Care And Services,Animal Shelter,,,none
Calabasas Animal Clinic,"4937 Las Virgenes Rd Suite 101, Calabasas, CA 91302, United States",https://www.calabasasanimalclinic.com/?utm_source=gmb&utm_medium=organic&y_source=1_MTQ3NDY4NjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Animal Care And Services,Animal Shelter,,,none
Western Animal Hospital,"1803 S Western Ave, Los Angeles, CA 90006, United States",https://www.westernanimalhosp.com/,Animal Care And Services,Animal Shelter,,,none
Modern Animal,"2828 Santa Monica Blvd, Santa Monica, CA 90404, United States",https://www.modernanimal.com/locations/los-angeles/santa-monica,Animal Care And Services,Animal Shelter,,,none
Home Pet Doctor,"1905 Wilcox Ave Unit 133, Los Angeles, CA 90068, United States",http://www.homepetdoctor.com/,Animal Care And Services,Pet Training,,,none
Veterinary Healthcare Center,"241 W Pomona Blvd, Monterey Park, CA 91754, United States",https://vhc.la/,Animal Care And Services,Vetinary Services,,,none
VCA TLC Animal Hospital,"8725 Santa Monica Blvd, West Hollywood, CA 90069, United States",https://vcahospitals.com/tlc?utm_source=maps&utm_medium=organic&utm_campaign=AU_889,Animal Care And Services,Vetinary Services,,,none
Ambassador Dog & Cat Hospital,"3684 Beverly Blvd, Los Angeles, CA 90004, United States",https://ambassadorpet.com/,Animal Care And Services,Vetinary Services,,,none
Little Tokyo Pet Clinic,"236 S Los Angeles St suite h, Los Angeles, CA 90012, United States",http://www.littletokyovet.com/,Animal Care And Services,Pet Training,,,none
