Company Name,Company Address,website,HR Email,Sales BEST,Sales BETTER,Sales EXCLUDE,Company Careers Page,Company Products/Services Page,Instagram,Facebook,X,description,skill_id
Bestia,"2121 E 7th Pl, Los Angeles, CA 90021, USA",http://www.bestiala.com/,press@bestiala.com,,press@bestiala.com; events@bestiala.com; info@bestiala.com,,,https://bestiala.com/menu/#content; https://bestiala.com/menu/,https://www.instagram.com/bestiadtla/,https://www.facebook.com/BestiaDTLA/,,"Bestia Skip to content Menu About Contact Events Gift Cards Reservations Menu About Contact Events Gift Cards Reservations ADDRESS 2121 E 7th Pl, Los Angeles, CA 90021 T: 213.514.5724 HOURS Monday – Sunday 5pm – 11pm Closed for most major holidays NEWSLETTER Email Submit A 4% service charge will be added to each guest check to ensure competitive industry compensation, as well as health and medical benefits, for all of our valued full time team members. In support of this initiative, the entirety of the charge is retained by the restaurant. If you would like this charge removed, please let our staff know. Thank you for dining with us and supporting our staff. CONNECT Instagram Facebook-f Jobs Reservations Accessibility ADDRESS 2121 E 7th Pl, Los Angeles, CA 90021 T: 213.514.5724 HOURS Monday – Sunday 5pm – 11pm Closed for most major holidays CONNECT Instagram Facebook-f Jobs Reservations Accessibility NEWSLETTER Email Submit A 4% service charge will be added to each guest check to ensur",
Majordomo,"1725 Naud St, Los Angeles, CA 90012, USA",http://www.majordomo.la/,adaaccessibility@momofuku.com,,adaaccessibility@momofuku.com; domoevents@momofuku.com,,,http://www.majordomo.la/dinner-menu; http://www.majordomo.la/menu-1; http://www.majordomo.la/to-go; https://www.majordomo.la/dinner-menu; http://www.majordomo.la/catering; https://www.majordomo.la/catering,http://instagram.com/majordomola,,,"MAJORDŌMO home MENU BEVERAGE Reservations TO GO & DELIVERY Catering Private Events Gifts Cards Back DINNER WEEKNIGHT PRIX FIXE WEEKEND LUNCH MENU DINNER WEEKNIGHT PRIX FIXE WEEKEND LUNCH BEVERAGE Reservations TO GO & DELIVERY Catering Private Events Gifts Cards Scroll Home MENU BEVERAGE PRIVATE EVENTS CATERING TO GO & DELIVERY RESERVATIONS New Page majordomo New Page Location 1725 Naud St. Los Angeles, CA, 90012 Please use this link to make a reservation if you’re using a screen reader or assistive technology. Hours Monday - Thursday 5:30PM - 10PM Friday 5:30PM - 10:30PM Saturday 11:30AM - 2:30PM 5:00PM - 10:30PM Sunday 11:30AM - 2:30PM 5:00PM - 10:00PM Pick Up & Delivery Monday - Sunday | 5-9PM newsletter Sign up for our newsletter Name * First Name Last Name Email Address * Thank you! PRIVATE EVENTS GIFT CARDS JOIN OUR TEAM FAQs",11
Fleming’s Prime Steakhouse & Wine Bar,"800 W Olympic Blvd Suite A-135, Los Angeles, CA 90015, USA",https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles?y_source=1_MTU1MDMxOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,compliance@bloominbrands.com,,compliance@bloominbrands.com; info@moonlarksla.com,,,https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles...; https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles...; https://www.flemingssteakhouse.com/accessibility-statement; https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles...; https://www.flemingssteakhouse.com/menus/lunch; https://www.flemingssteakhouse.com/menus/wines-and-cocktails; https://www.flemingssteakhouse.com/events-and-catering-menus; https://www.flemingssteakhouse.com/menus/dinner; https://www.flemingssteakhouse.com/menus; https://www.flemingssteakhouse.com/promotions; https://www.flemingssteakhouse.com; https://www.flemingssteakhouse.com/menus/bar; https://www.flemingssteakhouse.com/events-and-catering; https://www.flemingssteakhouse.com/locations/ca/los-angeles,https://www.instagram.com/flemingssteakhouse/,https://www.facebook.com/flemings/,,"Los Angeles Steakhouse | Fine Dining & Prime Steak | Fleming's Skip to content Accessibility Statement Your Fleming's: Los Angeles/L.A. LIVE, CA ( Change ) Menus Dinner Menu Bar Lunch Menu Wines & Cocktails Carry Out Your Fleming's Promotions Events & Catering See Menus & Packages View Rooms & Floorplans Book An Event Now Order Catering Gift Cards Reservations Order More links Your Fleming's: Los Angeles/L.A. LIVE, CA ( Change ) 800 West Olympic Boulevard, #A135, 90015 Call Reserve Your Fleming’s Local Promotions Events & Catering Reservations Order Online Delivery Los Angeles/L.A. LIVE Fleming’s Your Los Angeles/L.A. LIVE Fleming's is located across from the Crypto.com Arena and the Los Angeles Convention Center on Olympic Boulevard. Fleming's in L.A. LIVE is an outstanding choice to enjoy an exceptional Prime steak, glass of wine or handcrafted cocktail in Los Angeles. Whether you’re celebrating a special occasion, hosting a business dinner or simply wanting to enjoy a night out — we",11
Moonlark's Dinette,"1060 S Broadway, Los Angeles, CA 90015, USA",https://www.moonlarksla.com/,cbetancourt@bokagrp.comâ,,cbetancourt@bokagrp.comâ; cbetancourt@bokagrp.com; info@moonlarksla.com,,,https://www.moonlarksla.com/menu; https://www.moonlarksla.com/menu#main,https://www.instagram.com/moonlarksdinette/,https://www.facebook.com/people/Moonlarks-Dinette/61551749086197/,,"Moonlarkâs Dinette | The Hoxton, Downtown Los Angeles Contact private dining order to go menu CHEF gift cards Contact Private Dining Reserve skip to main Moonlark's Dinette - All good things Where the laid-back atmosphere of your beloved childhood diner meets West Coast quality, product and preparation. Moonlarkâs Dinette delivers a thoroughly unfussy, enticing exploration of Americana on a plate. Where the laid-back atmosphere of your beloved childhood diner meets West Coast quality, product and preparation. Moonlarkâs Dinette delivers a thoroughly unfussy, enticing exploration of Americana on a plate. locate us 1060 S Broadway, Los Angeles, CA 90015 The Hoxton, DTLA open hours 7:30amâ3pm Email us info@moonlarksla.com Our Menu Our menu marries locally sourced, approachable comfort food with Chris Pandelâs signature style of âcome as you areâ hospitality. View FULLÂ menu Breakfast Brekkie Quesadilla chorizo, scrambled eggs, pepperjack cheese, bloody mary pico The Breakfas",
JOEY DTLA,"700 W 7th St Ste S430, Los Angeles, CA 90017, USA",https://joeyrestaurants.com/location/joey-dtla,purchasing@joeyrestaurants.com,,purchasing@joeyrestaurants.com; privacy@joeyrestaurants.com; accessibility@joeyrestaurants.com; marketing@joeyrestaurants.com; giftcards@joeyrestaurants.com; realestate@joeyrestaurants.com; reception@joeyrestaurants.com; community@joeyrestaurants.com,bar@joeyrestaurants.com,https://joeyrestaurants.com/careers,https://joeyrestaurants.com/about; https://joeyrestaurants.com/menu/joey-dtla; https://joeyrestaurants.com/careers; https://joeyrestaurants.com/general-inquiries; https://joeyrestaurants.com/menus; https://joeyrestaurants.com/privacy; https://joeyrestaurants.com/; https://joeyrestaurants.com/modern-slavery-act-statement,https://www.instagram.com/joeyrestaurants/,https://www.facebook.com/JOEYRestaurants/,,"JOEY DTLA - JOEY Restaurants | The Ultimate in Casual Dining Skip to Main Content Select a Location Careers Reserve Locations Menus Private Dining Gift Cards Reserve JOEY DTLA Make Location 700 W 7th, Suite S430 Los Angeles , CA 90017 Book A Table Location Features: Private Dining + Large Party Events Wheelchair Accessible High Chairs Available Patio Seating Browse Our Globally Inspired Menu Food Drinks Happy Hour Slide 1 of 3 Starters, Entrees, and Sweets. A menu to fit any occasion. View Menu Cocktails, Wine, and Beer. Hand-crafted and carefully selected. ​ View Menu The Happiest Hours.​ Join us for our day or late-night happy hour.​ View Menu Starters, Entrees, and Sweets. A menu to fit any occasion. View Menu Cocktails, Wine, and Beer. Hand-crafted and carefully selected. ​ View Menu The Happiest Hours.​ Join us for our day or late-night happy hour.​ View Menu Starters, Entrees, and Sweets. A menu to fit any occasion. View Menu Cocktails, Wine, and Beer. Hand-crafted and carefully ",
Guelaguetza Restaurant,"3014 W Olympic Blvd, Los Angeles, CA 90006, USA",http://www.ilovemole.com/,jobs@ilovemole.com,sales@ilovemole.com,events@ilovemole.com; adela@ilovemole.com; info@ilovemole.com; press@ilovemole.com,jobs@ilovemole.com,,http://www.ilovemole.com/catering; http://store.ilovemole.com/; https://store.ilovemole.com/; http://www.ilovemole.com/privacy-policy; http://www.ilovemole.com/menu; http://www.ilovemole.com/joinourteam; http://www.ilovemole.com/contact-us; https://store.ilovemole.com,https://www.instagram.com/laguelaguetza/,https://www.facebook.com/TheGuelaguetza/,https://twitter.com/LaGuelaguetza,"Guelaguetza | Serving up the best Oaxaca food in the country Home Restaurant Welcome Menu TAKE OUT TAKE OUT DELIVERY Catering RESERVATIONS Contact PRESS CAREERS Cookbook STORE Sign In My Account Home Restaurant Welcome Menu TAKE OUT TAKE OUT DELIVERY Catering RESERVATIONS Contact PRESS CAREERS Cookbook STORE Sign In My Account “ Guelaguetza Is The Best Oaxacan Restaurant in the Country ” — Jonathan Gold delivery or take ouT BROWSE MENU BUY A GIFT CARD Book reservation SHOP OUR MOLE Call us (213) 427-0608 Visit Us 3014 W. Olympic Blvd. Los Angeles, CA 90006 New Hours Tuesday - Thursday : 11am - 9pm Friday - Sunday: 9AM - 10PM indoor dine-in, patio, take out and delivery! MONDAYS: CLOSED GUELAGUETZA IS A RESTAURANT, BOUTIQUE MARKET, AND AN ADVOCATE OF OAXACAN CULTURE IN LOS ANGELES Guelaguetza first opened its doors in 1994 by immigrant husband and wife Fernando Lopez and Maria Monterrubio. Since then, our goal at Guelaguetza has been to showcase the best of our family recipes and stay t",11
Redbird,"114 E 2nd St, Los Angeles, CA 90012, USA",http://www.redbird.la/,info@redbird.la,,info@redbird.la; events@redbird.la; press@redbird.la,,,http://www.redbird.la/menus?tab=cocktails-%26-beer; http://www.redbird.la/menus?tab=happy-hour; http://www.redbird.la/menus?tab=wine; http://www.redbird.la/menus?tab=brunch; http://www.redbird.la/menus?tab=dessert; http://www.redbird.la/menus?tab=dinner,https://www.instagram.com/redbirdla,https://www.facebook.com/redbirdla,https://x.com/redbirdla,"Redbird Los Angeles | DTLA Restaurant with Outdoor Seating Skip to content Menus Menus collapsed Dinner Dessert Cocktails & Beer Wine Happy Hour Brunch Private Events Weddings Happenings About Press Stories Contact Vibiana Reservations Gift Cards Menus Dinner Dessert Cocktails & Beer Wine Happy Hour Brunch Private Events Weddings Happenings About Press Stories Contact Vibiana Reservations Gift Cards “You feel as if you are part of something bigger than yourself, a hungry, chattering component of a grand pleasure machine.” Jonathan Gold LA Times Dining Rooms Learn More Private Dining Learn More Happenings Learn More Subscribe to our Newsletter Your Email Address* Contact 114 East Second Street Los Angeles, CA (213) 788-1191 info@redbird.la Careers Hours Dinner | Tuesday – Saturday 5pm – 10pm, Sunday 5pm – 9pm Happy Hour | Tuesday – Friday 5pm – 7pm, at the bar Brunch | Saturdays & Sundays 10am – 2pm A 5% service charge will be added to each guest check to ensure competitive industry com",
Le Grand Restaurant,"707 S Grand Ave, Los Angeles, CA 90017, USA",https://www.legrand-restaurant.com/,dtla@legrand-restaurant.com,,,dtla@legrand-restaurant.com,,,https://www.instagram.com/legrandrestaurants/,,,"Le Grand 0 Skip to Content Open Menu Close Menu Open Menu Close Menu UNLIMITED TASTING EXPERIENCE DOWNTOWN LOS ANGELES WE ACCEPT WALKINS! dtla@legrand-restaurant.com (213) 210 - 7777 In the words of our guests Hours & Menus DOWNTOWN LOS ANGELES Brunch Saturday - Sunday 11 AM - 3 PM Brunch Menu Sunday - Thursday 5 PM - 10 PM Friday - Saturday 5 PM - 11 PM Dinner Dinner Menu Happy Hour Monday - Thursday 5 PM - 6 PM Happy Hour Discover Our New Unlimited Tasting Experience at Le Grand Embark on a culinary journey like no other at Le Grand , where our Unlimited Tasting Experience lets you savor as many dishes as you’d like for $55 per person . Crafted in smaller, tapas-style portions, this menu is designed to help you explore a wide variety of flavors—from coconut shrimp and four-cheese ravioli to wine-braised brisket , mandarin salmon , and an array of delightful desserts . Looking for a weekend indulgence? Our Brunch Menu offers the same unlimited approach for $49 per person , featuring f",
BROKEN MOUTH | Lee's Homestyle,"718 S Los Angeles St, Los Angeles, CA 90014, USA",http://eatbrokenmouth.com/,hello@eatbrokenmouth.com,,hello@eatbrokenmouth.com; info@cabralosangeles.com; press@bokagrp.com; reservations@cabralosangeles.com,,,http://eatbrokenmouth.com/ourmenu,http://instagram.com/eatbrokenmouth,,,"BROKEN MOUTH Home Menu About Us Contact Order Pick Up Door Dash Delivery Postmates Delivery Menu 231 East 9th Street Los Angeles, CA, 90015 (213) 418-9588 Lee's Homestyle Your Custom Text Here Home Menu About Us Contact Order Pick Up Door Dash Delivery Postmates Delivery VOTED #1 RESTAURANT IN THE USA ON YELP 2023! FOOD SO GOOD IT BROKE DA MOUT! HOME OF THE ORIGINAL LA MEAT JUN PRE-ORDERS recommended, wait time could be over 1 hour ORDER PICK UP DELIVERY w/Postmates DELIVERY w/Uber Eats DELIVERY w/Door Dash OPEN TUESDAY-SATURDAY | 12P-6P CLOSED SUNDAY & MONDAY Ua Mau ke Ea o ka ʻĀina i ka Pono “The life of the land is perpetuated in righteousness” Aloha—literally “breath of life”—goes beyond a simple greeting. Aloha spirit is about spreading love and good feelings, always. BROKEN MOUTH | Lee’s Homestyle home of the original LA Meat Jun 718 s los angeles st. los angeles, ca 90014 hello@eatbrokenmouth.com 213-418-9588 OPEN TUESDAY-SATURDAY | 12P-6P © 2017-2025 BROKEN MOUTH ALL RIGHTS RES",
Le Petit Paris,"418 S Spring St, Los Angeles, CA 90013, USA",http://www.lepetitparisla.com/,info@cabralosangeles.com,,info@cabralosangeles.com; press@bokagrp.com; reservations@cabralosangeles.com; info@lepetitparisla.com,,,https://www.lepetitparisla.com/events; https://www.lepetitparisla.com/packages; https://www.lepetitparisla.com/extras,http://instagram.com/lepetitparis_la,http://facebook.com/lepetitparisla/,,"Le Petit Paris - French Restaurant in Los Angeles top of page Home Menu Dinner Brunch Desserts Wine Cocktails & Drinks Happy Hour About us Private Events & Experiences Book your table More... Use tab to navigate through the menu items. R E S E R V A T I O N S HOME OF THE TRUFFLE PASTA Our signature Entrée, the Cognac Flambéed Truffle Pasta with Black Italian Truffle is cooked in front of you in a wheel of Parmesan Cheese. Read More ADDRESS 418 / 420 S Spring Street Los Angeles, CA 90013 ​ Valet Parking available Wed - Sunday info@lepetitparisla.com ​ (213) 217 4445 SIGN UP TO OUR MAILING LIST > Merci! OPENING HOURS Monday closed Tuesday closed Wednesday 5pm - 10pm Thursday 5pm - 10pm Friday 5pm - 11pm Saturday 5pm - 11pm Sunday 11am - 3pm 5pm - 10pm ​ ​ © 2025 LE PETIT PARIS - French Restaurant in Los Angeles People with disability? Give us a call . bottom of page",
Home Restaurant,"1760 Hillhurst Ave, Los Angeles, CA 90027, USA",https://www.homerestaurantla.com/,info@cabralosangeles.com,,info@cabralosangeles.com; press@bokagrp.com; reservations@cabralosangeles.com,,,,,,,"Home Restaurant - Bar & Grill in Los Angeles, CA Skip to main content Home Restaurant Order Online Menu Happy Hour Catering Private Events Gift Cards Become A VIP Reservations More Order Online Menu Happy Hour Catering Private Events Gift Cards Become A VIP Reservations Home Restaurant Menu The Guesthouse Bar Private Events Load More Content Load More Content Sign In Become a VIP Opens in a new window Opens an external site Opens an external site in a new window",11
