title,address,website,emails,phone,location,categories,instagrams,facebooks,Company Website,Emails (BEST),Emails (BETTER),Emails (EXCLUDE),Career Page,Products/Services Page
Prima Cantina,"15246 W Sunset Blvd, Pacific Palisades, CA 90272, United States",http://www.primacantina.com/,[],+1 310-459-8118,"{'lat': 34.0466794, 'lng': -118.5251728}",['Mexican restaurant'],['https://www.instagram.com/prima.cantina/'],['https://www.facebook.com/PrimaCantinaRestaurant/'],http://www.primacantina.com/,,,,,
Il Moro Restaurant,"Entrance on, 11400 West Olympic Boulevard, Purdue Ave, Los Angeles, CA 90064",https://ilmoro.com/,"['ilmororestaurant@gmail.com', 'ilmororestaurant@verizon.net']",(310) 575-3530,"{'lat': 34.0362094, 'lng': -118.4426517}","['Italian restaurant', 'Meat dish restaurant', 'Pasta shop', 'Pizza restaurant', 'Seafood restaurant', 'Soup restaurant']",['https://www.instagram.com/ilmororestaurant/'],['https://www.facebook.com/ilmororestaurant'],https://ilmoro.com/,,,,,
Giorgio Baldi,"114 W Channel Rd, Santa Monica, CA 90402, United States",http://www.giorgio-baldi.com/,[],+1 310-573-1660,"{'lat': 34.0284066, 'lng': -118.5187501}","['Italian restaurant', 'Restaurant']",['https://www.instagram.com/giorgiobaldi_ristorante/'],[],http://www.giorgio-baldi.com/,,,,,
Peppone Restaurant,"11628 Barrington Ct, Los Angeles, CA 90049",http://www.peppone.com/,[],(310) 476-7379,"{'lat': 34.0651548, 'lng': -118.469193}","['Italian restaurant', 'Restaurant']",[],['https://www.facebook.com/pepponerestaurant/'],http://www.peppone.com/,,,,,
Porta Via Pacific Palisades,"1063 N Swarthmore Ave, Pacific Palisades, CA 90272, United States",http://www.portaviarestaurants.com/pacific-palisades,"['%20ryan@portaviarestaurants.com', 'ryan@portaviarestaurants.com', 'peter@portaviarestaurants.com']",+1 310-499-2989,"{'lat': 34.0483198, 'lng': -118.5248027}",['Restaurant'],['https://instagram.com/portaviaca'],"['http://www.facebook.com/portaviabh', 'https://www.facebook.com/portaviapalisades']",http://www.portaviarestaurants.com/pacific-palisades,,,,,
Toscana Brentwood,"11633 San Vicente Blvd # 100, Los Angeles, CA 90049",http://www.toscanabrentwood.com/,"['events@toscanabrentwood.com', 'janine@toscanabrentwood.com', 'toscana@toscanabrentwood.com']",(310) 820-2448,"{'lat': 34.0541909, 'lng': -118.4631879}","['Italian restaurant', 'Fine dining restaurant', 'Northern Italian restaurant', 'Organic restaurant', 'Pizza restaurant', 'Tuscan restaurant']",[],[],http://www.toscanabrentwood.com/,,,,,
Madre Restaurant,"10426 National Blvd, Los Angeles, CA 90034",http://madrerestaurants.com/,[],(310) 559-4732,"{'lat': 34.0287421, 'lng': -118.4112828}","['Mexican restaurant', 'Caterer', 'Cocktail bar']",['https://www.instagram.com/madre_losangeles/'],"['https://www.facebook.com/madreOaxacan/', 'https://www.facebook.com/madrelosangeles']",http://madrerestaurants.com/,,,,,
AKASHA,"9543 Culver Blvd, Culver City, CA 90232",https://www.akasharestaurant.com/,['info@akasharestaurant.com'],(310) 845-1700,"{'lat': 34.0229893, 'lng': -118.3955446}","['New American restaurant', 'Delivery Restaurant', 'Organic restaurant']","['https://www.instagram.com/akashacc/', 'https://www.instagram.com/akasharichmond/']",['https://www.facebook.com/akasharestaurant'],https://www.akasharestaurant.com/,,,,,
Quebobs Mediterranean Restaurant,"3560 S La Cienega Blvd suit F, Los Angeles, CA 90016",https://mymozo.com/myrestaurant/default?CompanyId=2131,['support@mymozo.com'],,"{'lat': 34.0228657, 'lng': -118.3718065}","['Mediterranean restaurant', 'Halal restaurant']",[],[],https://mymozo.com/myrestaurant/default?CompanyId=2131,,,,,
MONTE ALBAN RESTAURANT,"11929 Santa Monica Blvd, Los Angeles, CA 90025",https://montealbanrestaurant.com/?utm_source=google,[],(310) 444-7736,"{'lat': 34.0419276, 'lng': -118.4613359}","['Mexican restaurant', 'Oaxacan restaurant']",[],[],https://montealbanrestaurant.com/?utm_source=google,,,,,
West Restaurant & Lounge,"170 N Church Ln, Los Angeles, CA 90049",http://www.westrestaurantla.com/,"['Sales@HotelAngeleno.com', 'WESTHosts@HotelAngeleno.com']",(310) 481-7878,"{'lat': 34.073656, 'lng': -118.468185}","['Californian restaurant', 'American restaurant', 'Bar', 'Lounge', 'Restaurant']",['https://www.instagram.com/westrestaurantla/'],['https://www.facebook.com/profile.php?id=61561342087664'],http://www.westrestaurantla.com/,,,,,
Golden Bull Restaurant,"170 W Channel Rd, Santa Monica, CA 90402, United States",http://www.goldenbullsantamonica.com/,"['events@goldenbullsantamonica.com', 'gm@goldenbullsantamonica.com']",+1 310-230-0402,"{'lat': 34.0290426, 'lng': -118.5177412}","['Steak house', 'Gastropub', 'Restaurant']",['https://www.instagram.com/thegoldenbullsm/'],[],http://www.goldenbullsantamonica.com/,,,,,
Sor Tino Restaurant,"908 S Barrington Ave, Los Angeles, CA 90049",http://www.sortinorestaurant.com/,"['sortinola@gmail.com', 'info@sortinorestaurant.com']",(310) 442-8466,"{'lat': 34.0532148, 'lng': -118.4649076}","['Italian restaurant', 'Restaurant']",['https://www.instagram.com/sortinorestaurant/'],[],http://www.sortinorestaurant.com/,,,,,
Carmine's Restaurant & Bar,"10463 Santa Monica Blvd, Los Angeles, CA 90025",http://www.carminesla.com/,"['bossatcarmines@gmail.com', 'filler@godaddy.com', 'bossatcarmines@hotmail.com']",(310) 441-4706,"{'lat': 34.0564365, 'lng': -118.4263108}",['Italian restaurant'],['https://www.instagram.com/carminesla'],['https://www.facebook.com/102189675662975'],http://www.carminesla.com/,,,,,
Spruzzo Restaurant & Bar,"538 Palisades Dr, Los Angeles, CA 90272",http://spruzzopalisades.com/,['admin@spruzzopalisades.com'],(424) 426-5900,"{'lat': 34.0456394, 'lng': -118.5516703}",['Italian restaurant'],['https://www.instagram.com/spruzzopalisades/'],[],http://spruzzopalisades.com/,,,,,
N10 Restaurant,"8436 W 3rd St, Los Angeles, CA 90048",https://www.n10restaurant.com/home,['info@n10restaurant.com'],(323) 591-0599,"{'lat': 34.0728802, 'lng': -118.3745458}","['Italian restaurant', 'Cocktail bar', 'Mediterranean restaurant', 'Pizza restaurant']","['https://www.instagram.com/n10losangeles/', 'http://instagram.com/AlessandroDelPiero']","['https://www.facebook.com/n10restaurant', 'https://www.facebook.com/AlessandroDelPiero']",https://www.n10restaurant.com/home,,,,,
LULU Restaurant LA,"10899 Wilshire Blvd, Los Angeles, CA 90024",https://lulu.restaurant/,['info@lulu.restaurant'],(424) 999-4870,"{'lat': 34.0596216, 'lng': -118.443614}",['American restaurant'],"['https://www.instagram.com/lulurestaurantla/', 'http://instagram.com/lulurestaurantla']",[],https://lulu.restaurant/,,,,,
Bamboo Restaurant,"10835 Venice Blvd., Los Angeles, CA 90034",https://beacons.ai/bamboorestaurant?fbclid=PAZXh0bgNhZW0CMTEAAaYYVo3e2uJec62WUW4sq_lxfTbnwt0T7vgPg1M2dQCTDkBvTRT5cqSjXh0_aem_s8NFgcVNnuhbW1lfB5UV9g,[],(310) 287-0668,"{'lat': 34.01718, 'lng': -118.410292}","['Restaurant', 'Bar', 'Fusion restaurant', 'Latin American restaurant', 'Pan-Latin restaurant']",[],[],https://beacons.ai/bamboorestaurant?fbclid=PAZXh0bgNhZW0CMTEAAaYYVo3e2uJec62WUW4sq_lxfTbnwt0T7vgPg1M2dQCTDkBvTRT5cqSjXh0_aem_s8NFgcVNnuhbW1lfB5UV9g,,,,,
Caffé Delfini,"147 W Channel Rd, Santa Monica, CA 90402, United States",http://www.caffedelfini.com/,['caffedelfini@gmail.com'],+1 310-459-8823,"{'lat': 34.0290339, 'lng': -118.5184118}","['Italian restaurant', 'Caterer', 'Family restaurant', 'Gluten-free restaurant', 'Takeout restaurant', 'Mediterranean restaurant', 'Restaurant', 'Roman restaurant', 'Seafood restaurant']",['https://www.instagram.com/caffedelfini'],['https://www.facebook.com/caffedelfiniofficial'],http://www.caffedelfini.com/,,,,,
MUSE Santa Monica,"108 W Channel Rd, Santa Monica, CA 90402, United States",http://musesantamonica.com/,['welcome@musesantamonica.com'],+1 424-238-5107,"{'lat': 34.0283662, 'lng': -118.518961}",['Modern French restaurant'],['https://www.instagram.com/muse.santamonica/'],[],http://musesantamonica.com/,,,,,
Alma oaxaqueña Restaurant,"10429 Venice Blvd., Los Angeles, CA 90034",http://almaoaxaquena.com/,[],(424) 298-8035,"{'lat': 34.020353, 'lng': -118.4049573}",['Mexican restaurant'],[],[],http://almaoaxaquena.com/,,,,,
Violet L.A.,"1121 Glendon Ave, Los Angeles, CA 90024",https://www.violetla.com/,[],(310) 208-1121,"{'lat': 34.0604834, 'lng': -118.4443344}","['French restaurant', 'Californian restaurant']",[],[],https://www.violetla.com/,,,,,
Poquito Más,"2215 Westwood Blvd, West Los Angeles, CA 90025",http://www.poquitomas.com/,[],(310) 474-1998,"{'lat': 34.0432465, 'lng': -118.4316858}","['Mexican restaurant', 'Fast food restaurant', 'Restaurant']",['https://www.instagram.com/poquitomas/'],['https://www.facebook.com/Poquito'],http://www.poquitomas.com/,,,,,
Baltaire Restaurant,"11647 San Vicente Blvd, Los Angeles, CA 90049",http://baltaire.com/?y_source=1_MTAwMjE5NTM4NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"['hello@baltaire.com', 'amber@baltaire.com']",(424) 273-1660,"{'lat': 34.0542596, 'lng': -118.4639985}","['Restaurant', 'Bar', 'Brunch restaurant', 'Fine dining restaurant', 'Lounge', 'Seafood restaurant', 'Steak house']",['https://www.instagram.com/baltaire/'],['http://Facebook.com/baltaire'],http://baltaire.com/?y_source=1_MTAwMjE5NTM4NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,
Quiadaiyn Restaurant,"12326 Venice Blvd., Los Angeles, CA 90066",https://www.quiadaiyn.com/,['quiadaiynofficial@gmail.com'],(310) 313-7654,"{'lat': 34.0037075, 'lng': -118.433077}","['Mexican restaurant', 'Oaxacan restaurant']",['https://www.instagram.com/quiadaiyn/'],[],https://www.quiadaiyn.com/,,,,,
