title,address,website,emails,phone,location,categories,instagrams,facebooks,Career Page,Products/Services Page,Scraped Emails (BEST),Scraped Emails (BETTER),Scraped Emails (EXCLUDE)
Javan Restaurant,"11500 Santa Monica Blvd, Los Angeles, CA 90025",http://www.javanrestaurant.com/,"['javanexpress@outlook.com', 'Javanexpress@outlook.com']",(310) 207-5555,"{'lat': 34.0452901, 'lng': -118.4519807}","['Mediterranean restaurant', 'Catering food and drink supplier', 'Persian restaurant', 'Restaurant']",['https://www.instagram.com/javanrestaurantca/'],['https://www.facebook.com/JavanRestaurant'],https://javanrestaurant.com,https://javanrestaurant.com,,group-6376@2x-1536x851.jpg; group-6376@2x.jpg; group-6376@2x-300x166.jpg; group-6376@2x-768x425.jpg; group-6376@2x-1024x567.jpg; javanexpress@outlook.com,
Rosalind's,"1044 S Fairfax Ave, Los Angeles, CA 90019",http://rosalindsla.com/,[],(323) 936-2486,"{'lat': 34.056887, 'lng': -118.3641806}","['Ethiopian restaurant', 'Restaurant']",['http://instagram.com/rosalindsrestaurant'],['https://www.facebook.com/rosalindsrestaurant'],https://www.order.store/store/Rosalind's%20west%20AfricanCcusin/wTqkp8cMTLy810isALm8LA,http://rosalindsla.com/cart,,,
Flour Pizzeria & Cafe,"11684 San Vicente Blvd unit B, Los Angeles, CA 90049",https://flourpizzeria.com/?utm_source=google,[],(424) 330-0220,"{'lat': 34.0535293, 'lng': -118.4647485}","['Pizza restaurant', 'Cafe']",[],[],https://flourpizzeria.com/?utm_source=google#main,https://flourpizzeria.com/menu,,info@flourpizzeria.com,
Moku Sushi,"524 Palisades Dr, Pacific Palisades, CA 90272, United States",http://www.mokusushi.com/,[],+1 424-272-9329,"{'lat': 34.0453395, 'lng': -118.5516281}","['Sushi restaurant', 'Thai restaurant']",[],[],,,,,
Prima Cantina,"15246 W Sunset Blvd, Pacific Palisades, CA 90272, United States",http://www.primacantina.com/,[],+1 310-459-8118,"{'lat': 34.0466794, 'lng': -118.5251728}",['Mexican restaurant'],['https://www.instagram.com/prima.cantina/'],['https://www.facebook.com/PrimaCantinaRestaurant/'],https://www.primacantina.com/about,https://www.primacantina.com/about,,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com; 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; 8c4075d5481d476e945486754f783364@sentry.io; 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com; 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com; e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com,
Il Moro Restaurant,"Entrance on, 11400 West Olympic Boulevard, Purdue Ave, Los Angeles, CA 90064",https://ilmoro.com/,"['ilmororestaurant@gmail.com', 'ilmororestaurant@verizon.net']",(310) 575-3530,"{'lat': 34.0362094, 'lng': -118.4426517}","['Italian restaurant', 'Meat dish restaurant', 'Pasta shop', 'Pizza restaurant', 'Seafood restaurant', 'Soup restaurant']",['https://www.instagram.com/ilmororestaurant/'],['https://www.facebook.com/ilmororestaurant'],https://www.cloudflare.com/5xx-error-landing,https://www.cloudflare.com/5xx-error-landing,,,
Giorgio Baldi,"114 W Channel Rd, Santa Monica, CA 90402, United States",http://www.giorgio-baldi.com/,[],+1 310-573-1660,"{'lat': 34.0284066, 'lng': -118.5187501}","['Italian restaurant', 'Restaurant']",['https://www.instagram.com/giorgiobaldi_ristorante/'],[],,,,,
Peppone Restaurant,"11628 Barrington Ct, Los Angeles, CA 90049",http://www.peppone.com/,[],(310) 476-7379,"{'lat': 34.0651548, 'lng': -118.469193}","['Italian restaurant', 'Restaurant']",[],['https://www.facebook.com/pepponerestaurant/'],https://www.facebook.com/pepponerestaurant/?ref=bookmarks,http://www.peppone.com/menu,,,
Porta Via Pacific Palisades,"1063 N Swarthmore Ave, Pacific Palisades, CA 90272, United States",http://www.portaviarestaurants.com/pacific-palisades,"['%20ryan@portaviarestaurants.com', 'ryan@portaviarestaurants.com', 'peter@portaviarestaurants.com']",+1 310-499-2989,"{'lat': 34.0483198, 'lng': -118.5248027}",['Restaurant'],['https://instagram.com/portaviaca'],"['http://www.facebook.com/portaviabh', 'https://www.facebook.com/portaviapalisades']",,,,,
Toscana Brentwood,"11633 San Vicente Blvd # 100, Los Angeles, CA 90049",http://www.toscanabrentwood.com/,"['events@toscanabrentwood.com', 'janine@toscanabrentwood.com', 'toscana@toscanabrentwood.com']",(310) 820-2448,"{'lat': 34.0541909, 'lng': -118.4631879}","['Italian restaurant', 'Fine dining restaurant', 'Northern Italian restaurant', 'Organic restaurant', 'Pizza restaurant', 'Tuscan restaurant']",[],[],https://www.order.store/store/toscana/bOeY28YuS1-9AvNis3oN8A,http://www.toscanabrentwood.com/#page,,toscana@toscanabrentwood.com,
Madre Restaurant,"10426 National Blvd, Los Angeles, CA 90034",http://madrerestaurants.com/,[],(310) 559-4732,"{'lat': 34.0287421, 'lng': -118.4112828}","['Mexican restaurant', 'Caterer', 'Cocktail bar']",['https://www.instagram.com/madre_losangeles/'],"['https://www.facebook.com/madreOaxacan/', 'https://www.facebook.com/madrelosangeles']",,,,,
AKASHA,"9543 Culver Blvd, Culver City, CA 90232",https://www.akasharestaurant.com/,['info@akasharestaurant.com'],(310) 845-1700,"{'lat': 34.0229893, 'lng': -118.3955446}","['New American restaurant', 'Delivery Restaurant', 'Organic restaurant']","['https://www.instagram.com/akashacc/', 'https://www.instagram.com/akasharichmond/']",['https://www.facebook.com/akasharestaurant'],,,,,
Quebobs Mediterranean Restaurant,"3560 S La Cienega Blvd suit F, Los Angeles, CA 90016",https://mymozo.com/myrestaurant/default?CompanyId=2131,['support@mymozo.com'],,"{'lat': 34.0228657, 'lng': -118.3718065}","['Mediterranean restaurant', 'Halal restaurant']",[],[],https://www.facebook.com,https://mymozo.com/#HomeSection,,,
MONTE ALBAN RESTAURANT,"11929 Santa Monica Blvd, Los Angeles, CA 90025",https://montealbanrestaurant.com/?utm_source=google,[],(310) 444-7736,"{'lat': 34.0419276, 'lng': -118.4613359}","['Mexican restaurant', 'Oaxacan restaurant']",[],[],https://montealbanrestaurant.com/?utm_source=google#main,https://montealbanrestaurant.com/menu,,hofelia26@yahoo.com,
West Restaurant & Lounge,"170 N Church Ln, Los Angeles, CA 90049",http://www.westrestaurantla.com/,"['Sales@HotelAngeleno.com', 'WESTHosts@HotelAngeleno.com']",(310) 481-7878,"{'lat': 34.073656, 'lng': -118.468185}","['Californian restaurant', 'American restaurant', 'Bar', 'Lounge', 'Restaurant']",['https://www.instagram.com/westrestaurantla/'],['https://www.facebook.com/profile.php?id=61561342087664'],https://www.westrestaurantla.com,https://www.westrestaurantla.com,,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com; c5095236fd2e4b8fae9ed6d73cdd81a3@sentry.wixpress.com; 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com; 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; ed436f5053144538958ad06a5005e99a@sentry.wixpress.com; 8c4075d5481d476e945486754f783364@sentry.io; westhost@hotelangeleno.com; 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com; 460ff4620fa44cba8df530afde949785@sentry.wixpress.com; 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com; 6117f2172a744ef3913942830d472a2c@sentry.wixpress.com; 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com; e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com; 0c52cb89aa4d4154857a1584b6701db6@sentry.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com; westhosts@hotelangeleno.com; westhosts@hotelangeleno.com,sales@hotelangeleno.com
Golden Bull Restaurant,"170 W Channel Rd, Santa Monica, CA 90402, United States",http://www.goldenbullsantamonica.com/,"['events@goldenbullsantamonica.com', 'gm@goldenbullsantamonica.com']",+1 310-230-0402,"{'lat': 34.0290426, 'lng': -118.5177412}","['Steak house', 'Gastropub', 'Restaurant']",['https://www.instagram.com/thegoldenbullsm/'],[],https://www.instagram.com/thegoldenbullsm/?hl=en,http://www.goldenbullsantamonica.com/menu,,events@goldenbullsantamonica.com; gm@goldenbullsantamonica.com,
Sor Tino Restaurant,"908 S Barrington Ave, Los Angeles, CA 90049",http://www.sortinorestaurant.com/,"['sortinola@gmail.com', 'info@sortinorestaurant.com']",(310) 442-8466,"{'lat': 34.0532148, 'lng': -118.4649076}","['Italian restaurant', 'Restaurant']",['https://www.instagram.com/sortinorestaurant/'],[],,,,,
Carmine's Restaurant & Bar,"10463 Santa Monica Blvd, Los Angeles, CA 90025",http://www.carminesla.com/,"['bossatcarmines@gmail.com', 'filler@godaddy.com', 'bossatcarmines@hotmail.com']",(310) 441-4706,"{'lat': 34.0564365, 'lng': -118.4263108}",['Italian restaurant'],['https://www.instagram.com/carminesla'],['https://www.facebook.com/102189675662975'],http://www.carminesla.com/about-carmines#8472a2bb-2d02-4eec-994f-9d36e7b99c2a,http://www.carminesla.com/,,filler@godaddy.com; bossatcarmines@gmail.com,
Spruzzo Restaurant & Bar,"538 Palisades Dr, Los Angeles, CA 90272",http://spruzzopalisades.com/,['admin@spruzzopalisades.com'],(424) 426-5900,"{'lat': 34.0456394, 'lng': -118.5516703}",['Italian restaurant'],['https://www.instagram.com/spruzzopalisades/'],[],https://www.instagram.com/spruzzopalisades/,http://spruzzopalisades.com/menu,,admin@spruzzopalisades.com,
N10 Restaurant,"8436 W 3rd St, Los Angeles, CA 90048",https://www.n10restaurant.com/home,['info@n10restaurant.com'],(323) 591-0599,"{'lat': 34.0728802, 'lng': -118.3745458}","['Italian restaurant', 'Cocktail bar', 'Mediterranean restaurant', 'Pizza restaurant']","['https://www.instagram.com/n10losangeles/', 'http://instagram.com/AlessandroDelPiero']","['https://www.facebook.com/n10restaurant', 'https://www.facebook.com/AlessandroDelPiero']",https://www.instagram.com/n10losangeles/,https://www.n10restaurant.com,,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com; 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com; info@n10restaurant.com; 8c4075d5481d476e945486754f783364@sentry.io; 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com; c183baa23371454f99f417f6616b724d@sentry.wixpress.com; 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com,
LULU Restaurant LA,"10899 Wilshire Blvd, Los Angeles, CA 90024",https://lulu.restaurant/,['info@lulu.restaurant'],(424) 999-4870,"{'lat': 34.0596216, 'lng': -118.443614}",['American restaurant'],"['https://www.instagram.com/lulurestaurantla/', 'http://instagram.com/lulurestaurantla']",[],https://www.lulu.restaurant,https://www.lulu.restaurant,,1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com; 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com; 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com; 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com; 460ff4620fa44cba8df530afde949785@sentry.wixpress.com; 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com; 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com; info@lulu.restaurant; ed436f5053144538958ad06a5005e99a@sentry.wixpress.com; 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com,
Bamboo Restaurant,"10835 Venice Blvd., Los Angeles, CA 90034",https://beacons.ai/bamboorestaurant?fbclid=PAZXh0bgNhZW0CMTEAAaYYVo3e2uJec62WUW4sq_lxfTbnwt0T7vgPg1M2dQCTDkBvTRT5cqSjXh0_aem_s8NFgcVNnuhbW1lfB5UV9g,[],(310) 287-0668,"{'lat': 34.01718, 'lng': -118.410292}","['Restaurant', 'Bar', 'Fusion restaurant', 'Latin American restaurant', 'Pan-Latin restaurant']",[],[],https://www.cloudflare.com/5xx-error-landing,https://www.cloudflare.com/5xx-error-landing,,,
Caffé Delfini,"147 W Channel Rd, Santa Monica, CA 90402, United States",http://www.caffedelfini.com/,['caffedelfini@gmail.com'],+1 310-459-8823,"{'lat': 34.0290339, 'lng': -118.5184118}","['Italian restaurant', 'Caterer', 'Family restaurant', 'Gluten-free restaurant', 'Takeout restaurant', 'Mediterranean restaurant', 'Restaurant', 'Roman restaurant', 'Seafood restaurant']",['https://www.instagram.com/caffedelfini'],['https://www.facebook.com/caffedelfiniofficial'],http://www.caffedelfini.com/#content,https://slicelife.com/restaurants/ca/santa-monica/90402/caffe-delfini/menu,,caffedelfini@gmail.com; email@example.com,
MUSE Santa Monica,"108 W Channel Rd, Santa Monica, CA 90402, United States",http://musesantamonica.com/,['welcome@musesantamonica.com'],+1 424-238-5107,"{'lat': 34.0283662, 'lng': -118.518961}",['Modern French restaurant'],['https://www.instagram.com/muse.santamonica/'],[],http://musesantamonica.com/cart,http://musesantamonica.com/cart,,welcome@musesantamonica.com,
Alma oaxaqueña Restaurant,"10429 Venice Blvd., Los Angeles, CA 90034",http://almaoaxaquena.com/,[],(424) 298-8035,"{'lat': 34.020353, 'lng': -118.4049573}",['Mexican restaurant'],[],[],,http://almaoaxaquena.com/cart,,,
Violet L.A.,"1121 Glendon Ave, Los Angeles, CA 90024",https://www.violetla.com/,[],(310) 208-1121,"{'lat': 34.0604834, 'lng': -118.4443344}","['French restaurant', 'Californian restaurant']",[],[],,,,,
Poquito Más,"2215 Westwood Blvd, West Los Angeles, CA 90025",http://www.poquitomas.com/,[],(310) 474-1998,"{'lat': 34.0432465, 'lng': -118.4316858}","['Mexican restaurant', 'Fast food restaurant', 'Restaurant']",['https://www.instagram.com/poquitomas/'],['https://www.facebook.com/Poquito'],,,,,
Baltaire Restaurant,"11647 San Vicente Blvd, Los Angeles, CA 90049",http://baltaire.com/?y_source=1_MTAwMjE5NTM4NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"['hello@baltaire.com', 'amber@baltaire.com']",(424) 273-1660,"{'lat': 34.0542596, 'lng': -118.4639985}","['Restaurant', 'Bar', 'Brunch restaurant', 'Fine dining restaurant', 'Lounge', 'Seafood restaurant', 'Steak house']",['https://www.instagram.com/baltaire/'],['http://Facebook.com/baltaire'],http://baltaire.com/,http://baltaire.com/,,hello@baltaire.com,
Quiadaiyn Restaurant,"12326 Venice Blvd., Los Angeles, CA 90066",https://www.quiadaiyn.com/,['quiadaiynofficial@gmail.com'],(310) 313-7654,"{'lat': 34.0037075, 'lng': -118.433077}","['Mexican restaurant', 'Oaxacan restaurant']",['https://www.instagram.com/quiadaiyn/'],[],https://www.quiadaiyn.com/,https://www.quiadaiyn.com/,,quiadaiynofficial@gmail.com,
