Skills Tags,Prompt Rule,Skills IDs,Skills Names,Prompts
Meat and seafood manager,"13) Meat and seafood manager
Use this tag at restaurants with a meat or seafood specialty, sush as a fishhouse, a steakhouse, carnicerias, or high end shabu shabu, sushi, or other high end restaurants that specialize in meat and or seafood. This tag should also be used at grocers / markets with seafood and / or meat departments, which could be small specialty grocers, or large grocery stores.",14,14: Retail & Foodservice>Management>Meat & Seafood,
Fishmonger,"14) Fishmonger
Use this tag for establishments advertise or mention specialty in seafood like seafood / oyster bars, and at grocers / markets with fish departments",51,51: Retail & Foodservice>Kitchen / Food>Fishmonger / seafood,
Butcher,"15) Butcher
Use this tag for establishments advetise or mention specialty in meat like a steakhouse, and at grocers / markets with meat departments",50,50: Retail & Foodservice>Kitchen / Food>Butcher,
Roaster,"16) Roaster
Use this tag if the establishment is a coffee roaster or is a cafe and roasts their coffee on-site.",42,42: Retail & Foodservice>Beverages>Roasting coffee,
Sushi,"17) Sushi
Use this tag if the business is a sushi restuarant, or caters sushi, or makes sushi.",47,47: Retail & Foodservice>Kitchen / Food>Making sushi,
Pasta,"18 Pasta
Use this tag if the business is a fine dining italian restuarant, or caters italian food with homemade pasta, or makes pasta, like an italian deli.",49,49: Retail & Foodservice>Kitchen / Food>Making pasta,
Brewery ,"19 Brewery 
Use this tag if they brew beer on-site or the business is advertised as a brewery and they have a bar for guests to taste the beer. When using this tag, also use the ""bartender"" tag","27, 28, 40",40: Retail & Foodservice>Beverages>Brewing beer,
Distiller,"19) Distiller
Use this tag if they Distill spirits on-site or the business is advertised as a distillery. When using this tag, also use the ""bartender"" tag.","27, 28, 41","27: Retail & Foodservice>Sales, Customer Services & Retail Operations>General labor: light lifting
28: Retail & Foodservice>Sales, Customer Services & Retail Operations>General labor: heavy lifting
41: Retail & Foodservice>Beverages>Distilling spirits",
Security,"20) Security
Use this tag if the establishment is a standalone bar that is only open in the evenings, and is on a very popular road for bars and entertainment, or a party area like by colleges for example.",191,191: Security>Security Operations>Security: unarmed,
Valet / parking,"21) Valet / parking
Use this tag if the establishment states that they offer valet service for their guests.","15, 30","15: Retail & Foodservice>Management>Valet / Parking
30: Retail & Foodservice>Sales, Customer Services & Retail Operations>Valet / Parking",
Delivery,"22) Delivery
Use this tag if the place will deliver ",308,308: Driving & Equipment Operation>Standard Driver's License>Transporting / delivering items,
