title,address,website,emails,phone,location,categories,instagrams,facebooks,Career Page
Amazing Siam Thai restaurant,"18818 Ventura Blvd, Tarzana, CA 91356",http://amazingsiam.net/,[],(747) 265-6292,"{'lat': 34.1714902, 'lng': -118.5436631}",['Thai restaurant'],,,
Pelicano Restaurant,"13920 Van Nuys Blvd Unit 101, Arleta, CA 91331",https://www.pelicanorestaurant.com/,[],(747) 274-1005,"{'lat': 34.2551802, 'lng': -118.4362928}","['Restaurant', 'Family restaurant', 'Karaoke', 'Mexican restaurant', 'Salvadoran restaurant']",https://www.instagram.com/pelicano.restaurant/,https://www.facebook.com/profile.php,
Joyce's Coffee Shop & Restaurant,"8826 Reseda Blvd, Northridge, CA 91324",http://joycescoffeeshop.com/,['joycecoffeeshop@gmail.com'],(818) 885-8818,"{'lat': 34.231563, 'lng': -118.5357932}","['Breakfast restaurant', 'Brunch restaurant', 'Lunch restaurant', 'Restaurant']",https://www.instagram.com/joycescoffeeshop818/,https://www.facebook.com/joycescoffeeshop818/,
Thai on Ventura,"17544 Ventura Blvd, Encino, CA 91316",http://www.thaionventura.com/,"['thaionventura@gmail.com', 'reserved@thaionventura.com']",(818) 783-8424,"{'lat': 34.1615753, 'lng': -118.5156915}","['Thai restaurant', 'Asian restaurant', 'Chicken wings restaurant', 'Chinese noodle restaurant', 'Lunch restaurant', 'Takeout Restaurant', 'Noodle shop', 'Rice restaurant', 'Salad shop', 'Soup restaurant']",https://www.instagram.com/thaionventura/,https://www.facebook.com/thaionventura,
Buenos Aires Grill,"8856 Corbin Ave, Northridge, CA 91324",http://www.buenosairesgrill.la/,[],(818) 772-5552,"{'lat': 34.2315819, 'lng': -118.5611124}","['Argentinian restaurant', 'Steak house']",https://www.instagram.com/buenosairesgrillusa,https://www.facebook.com/201331871732,
The Stand - American Classics Redefined,"19600 Plummer St #700, Northridge, CA 91324",https://www.thestand.com/,[],(818) 709-3820,"{'lat': 34.2423204, 'lng': -118.5613762}","['Restaurant', 'American restaurant', 'Caterer', 'Hamburger restaurant', 'Hot dog restaurant', 'Hot dog stand', 'Salad shop', 'Sandwich shop']",http://www.instagram.com/thestandrestaurants,https://www.facebook.com/thestandrestaurants,https://www.thestand.com/careers/
Jincook,"19346 Rinaldi St, Porter Ranch, CA 91326",https://jincookus.com/,[],(818) 217-4953,"{'lat': 34.2734974, 'lng': -118.5554127}",['Korean restaurant'],,,
Versailles Cuban Food- Encino,"17410 Ventura Blvd, Encino, CA 91316",http://versaillescubanfood.com/,['info@versaillescubanfood.com'],(818) 906-0756,"{'lat': 34.1608534, 'lng': -118.5121375}","['Cuban restaurant', 'Restaurant']",,,
Earth Vibes Restaurant Inc.,"13231 Gladstone Ave, Sylmar, CA 91342",http://earthvibes.online/,[],(818) 617-0069,"{'lat': 34.3110595, 'lng': -118.4300255}",['Restaurant'],,,
Emle's Restaurant,"9250 Reseda Blvd Suite 1, Northridge, CA 91325",http://www.emlesnorthridge.com/,['smmak419@gmail.com'],(818) 772-2203,"{'lat': 34.2386024, 'lng': -118.5358142}","['Restaurant', 'Californian restaurant', 'Mediterranean restaurant', 'Traditional American restaurant']",https://www.instagram.com/emlesrestaurant/,https://www.facebook.com/182613701786947,
Kickin KAsian,"9545 Reseda Blvd, Northridge, CA 91324",https://www.kickinkasian.com/,[],(818) 280-5563,"{'lat': 34.2437442, 'lng': -118.5363127}","['Cajun restaurant', 'Asian fusion restaurant', 'Crab house', 'Seafood restaurant']",,,
Peru's Taste Restaurant,"8246 Louise Ave, Northridge, CA 91325",http://orderperuvian.com/,[],(818) 708-7061,"{'lat': 34.2204451, 'lng': -118.5096546}","['Peruvian restaurant', 'Restaurant']",http://instagram.com/perustaste,https://www.facebook.com/perustasteNorthridge/,
Daisy's Restaurant,"15335 Parthenia St, North Hills, CA 91343",https://daisysrestaurantca.com/,[],(818) 748-2667,"{'lat': 34.2284516, 'lng': -118.4665936}","['Restaurant', 'Mexican restaurant']",,,
Flooky's - Woodland Hills,"21034 Victory Blvd, Woodland Hills, CA 91367",http://www.myflookys.com/locations/woodlandhills,[],(818) 340-7797,"{'lat': 34.1880718, 'lng': -118.5921804}","['Restaurant', 'American restaurant', 'Breakfast restaurant', 'Deli', 'Hamburger restaurant', 'Hot dog stand']",https://www.instagram.com/flookys/,https://www.facebook.com/flookysdeli1/,
Blvd Indian Restaurant,"20839 Ventura Blvd, Woodland Hills, CA 91364",https://blvdindianrestaurant.com/,[],(747) 230-4001,"{'lat': 34.1667018, 'lng': -118.5871919}",['Indian restaurant'],https://www.instagram.com/BlvdIndianRestaurant,,
Nico's Family Restaurant,"7166 Shoup Ave, West Hills, CA 91307",http://nicos-restaurant.com/,[],(818) 888-3998,"{'lat': 34.2008133, 'lng': -118.6143795}","['Family restaurant', 'Cafe']",,https://www.facebook.com/Nicos,
CF Food Kitchen,"16205 Devonshire St, Granada Hills, CA 91344",http://cffoodkitchen.com/,['cffoodkitchen@yahoo.com'],(818) 363-5781,"{'lat': 34.2577696, 'lng': -118.4853722}",['American restaurant'],https://www.instagram.com/cffoodkitchen,https://www.facebook.com/111691018911338,
Adagio Ristorante,"22841 Ventura Blvd, Woodland Hills, CA 91364",https://www.adagiowoodlandhills.com/,[],(818) 225-0533,"{'lat': 34.1658592, 'lng': -118.6247579}","['Italian restaurant', 'Restaurant']",,,
The Stand - American Classics Redefined,"5780 Canoga Ave, Woodland Hills, CA 91367",https://www.thestand.com/,[],(818) 710-0400,"{'lat': 34.1750459, 'lng': -118.5969123}","['Restaurant', 'American restaurant', 'Caterer', 'Hamburger restaurant', 'Hot dog restaurant', 'Hot dog stand', 'Salad shop', 'Sandwich shop']",http://www.instagram.com/thestandrestaurants,https://www.facebook.com/thestandrestaurants,https://www.thestand.com/careers/
Vinh Loi Tofu,"18625 Sherman Way #101, Reseda, CA 91335",https://www.vinhloitofu.com/,['accessibility@dylish.com'],(818) 996-9779,"{'lat': 34.2012753, 'lng': -118.5393639}","['Vegan restaurant', 'Asian restaurant', 'Pho restaurant', 'Tofu restaurant']",https://www.instagram.com/vinhloitofu/;   instagram.com/1178723545597542,https://www.facebook.com/vinhloitofu/,
Poquito Mas,"21049 Ventura Blvd, Woodland Hills, CA 91364",http://www.poquitomas.com/,[],(818) 887-2007,"{'lat': 34.1670977, 'lng': -118.592182}",['Mexican restaurant'],https://www.instagram.com/poquitomas/,https://www.facebook.com/Poquito,
Eureka!,"6250 CA-27, Woodland Hills, CA 91367",http://eurekarestaurantgroup.com/blog/locations/woodland-hills/,['laura.gras@eurekarestaurantgroup.com'],(818) 857-5544,"{'lat': 34.1839472, 'lng': -118.6053151}","['American restaurant', 'Restaurant']",,,
Casaléna,"22160 Ventura Blvd, Woodland Hills, CA 91364",http://casalena.la/,"['info@casalena.la', 'marketing@casalena.la']",(818) 704-1185,"{'lat': 34.168276, 'lng': -118.610206}","['Restaurant', 'Cocktail bar', 'Event venue']",https://www.instagram.com/casalena.la/,https://www.facebook.com/casalena.la,http://casalena.la/jobs/
Othello's Plant Based Kitchen,"21789 Ventura Blvd, Woodland Hills, CA 91364",https://www.clover.com/online-ordering/othellos-plantbased-kit-los-angeles,[],(818) 436-2126,"{'lat': 34.1693894, 'lng': -118.6021097}","['Restaurant', 'Vegan restaurant', 'Vegetarian restaurant']",,,
Zaatar N' More,"9545 Reseda Blvd, Northridge, CA 91324",http://zaatarnmore.com/,['zaatarnmore01@gmail.com'],(818) 280-3358,"{'lat': 34.2437904, 'lng': -118.5368891}","['Lebanese restaurant', 'Arab restaurant', 'Brunch restaurant', 'Catering food and drink supplier', 'Caterer', 'Halal restaurant', 'Mediterranean restaurant', 'Pizza delivery', 'Pizza restaurant', 'Pizza Takeout']",,,
The Local Peasant - Woodland Hills,"22901 Ventura Blvd, Woodland Hills, CA 91364",https://www.thelocalpeasant.com/,['INFO@THELOCALPEASANT.COM'],(818) 876-0105,"{'lat': 34.1657096, 'lng': -118.6253235}","['American restaurant', 'Bar', 'Brunch restaurant', 'Cocktail bar', 'Gastropub', 'Hamburger restaurant', 'Pub', 'Restaurant', 'Vegetarian restaurant', 'Wine bar']",http://www.instagram.com/thelocalpeasant;   https://instagram.com/thelocalpeasant,http://facebook.com/thelocalpeasant;   https://www.facebook.com/TheLocalPeasantWoodlandHills/;   https://www.facebook.com/TheLocalPeasant/,
Oliver Pepper,"20042 Ventura Blvd, Woodland Hills, CA 91364",https://olivepepper.com/,[],(818) 220-2888,"{'lat': 34.1709199, 'lng': -118.5700232}",['Mediterranean restaurant'],,,
Sweet Home Mediterranean Restaurant,"6900 Reseda Blvd Unit H, Reseda, CA 91335",https://qrco.de/bfDScw,[],(818) 600-8202,"{'lat': 34.1959739, 'lng': -118.5355978}",['Restaurant'],,,
Casa de Pizza - Granada Hills,"16161 San Fernando Mission Blvd, Granada Hills, CA 91344",https://www.casadepizzagranadahills.com/,[],(818) 366-6311,"{'lat': 34.2721537, 'lng': -118.484438}",['Italian restaurant'],,,
Blai restaurant,"5780 Canoga Ave Suite B, Woodland Hills, CA 91367",https://www.blaithai.com/,[],(747) 242-1112,"{'lat': 34.1748454, 'lng': -118.5970315}",['Thai restaurant'],,,
PandaBento,"13935 Van Nuys Blvd, Arleta, CA 91331",http://www.pandabento.com/,[],(747) 225-0182,"{'lat': 34.2558116, 'lng': -118.4367068}","['Hawaiian restaurant', 'Asian restaurant', 'Barbecue area', 'Chicken restaurant', 'Lunch restaurant', 'Takeout Restaurant', 'Rice restaurant', 'Seafood restaurant']",,https://www.facebook.com/pandabentoArleta/,
Little Siam Restaurant,"22811 Saticoy St, West Hills, CA 91304",http://www.littlesiamwesthills.com/,[],(818) 340-6462,"{'lat': 34.2085828, 'lng': -118.6240789}",['Thai restaurant'],,,
Kravings,"18663 Ventura Blvd, Tarzana, CA 91356",https://www.kravingsfusion.com/,"['info@thekravings.com', 'rxndesigns@gmail.com', 'info@theKravings.com']",(818) 881-7111,"{'lat': 34.1708853, 'lng': -118.5404688}","['Brazilian restaurant', 'Banquet hall', 'Bar', 'Barbecue restaurant', 'Brunch restaurant', 'Family restaurant', 'Lounge', 'Takeout Restaurant', 'Steak house']",https://www.instagram.com/kravings/,,
Greystoke Grill Restaurant,"18395 Ventura Blvd, Tarzana, CA 91356",https://www.greystokegrills.com/,['carmonano@aol.com'],(818) 344-4350,"{'lat': 34.1687881, 'lng': -118.5327767}","['American restaurant', 'Breakfast restaurant', 'Lunch restaurant', 'Restaurant']",,https://www.facebook.com/GreystokeGrill/,
Noosh Grill Restaurant,"Inside Valley Marketplace, 18345 Vanowen St, Reseda, CA 91335",https://nooshgrill.com/,[],(818) 996-2800,"{'lat': 34.1941262, 'lng': -118.5332884}","['Restaurant', 'Catering food and drink supplier', 'Persian restaurant']",,,
JOEY Woodland Hills,"6344 Topanga Canyon Blvd Suite #1010, Woodland Hills, CA 91367",https://joeyrestaurants.com/location/joey-woodland-hills,['accessibility@joeyrestaurants.com'],(818) 340-5639,"{'lat': 34.1862419, 'lng': -118.6051005}","['Restaurant', 'Pub']",https://www.instagram.com/joeyrestaurants/,https://www.facebook.com/JOEYRestaurants/,https://joeyrestaurants.com/careers
