Title,Address,Website,Phone,Category,HR_Best_Email,HR_Better_Email,Sales_Best_Email,Careers_Page,Instagram,Facebook,X_Twitter,LinkedIn
The Talpa Restaurant & Bar,"11751 W Pico Blvd, Los Angeles, CA 90064",https://thetalpa.com/,(310) 478-3353,Mexican restaurant,,thetalpainc@gmail.com,,,https://www.instagram.com/thetalparestaurant/,https://www.facebook.com/thetalpa/,,
Versailles Cuban Food - La Cienega Blvd,"1415 S La Cienega Blvd, Los Angeles, CA 90035",http://versaillescubanfood.com/,(310) 289-0392,Cuban restaurant,,info@versaillescubanfood.com,,,,,,
LULU Restaurant LA,"10899 Wilshire Blvd, Los Angeles, CA 90024",https://lulu.restaurant/,(424) 999-4870,American restaurant,,info@lulu.restau; info@lulu.restaurant,,,https://www.instagram.com/lulurestaurantla/,,,
The Culver Hotel Bar & Restaurant,"9400 Culver Blvd, Culver City, CA 90232",https://www.culverhotel.com/downtown-culver-city-restaurants,(310) 558-9400,Restaurant,hr@theculverhotel.com,creative@theculverhotel.com; dining@theculverhotel.com; events@theculverhotel.com; info@theculverhotel.com; media@theculverhotel.com; reservations@theculverhotel.com; restaurant.inquiry@theculverhotel.com,sales@culverhotel.com; sales@theculverhotel.com,https://www.culverhotel.com/careers,https://www.instagram.com/culverhotel/,https://www.facebook.com/TheCulverHotel,https://twitter.com/Culver_Hotel,
El Manguito Restaurant,"12650 Sherman Way # 19, North Hollywood, CA 91605, United States",Not found,+1 818-982-0907,Restaurant,,,,Not found,,,,
Bamboo Restaurant,"10835 Venice Blvd., Los Angeles, CA 90034",https://beacons.ai/bamboorestaurant?fbclid=PAZXh0bgNhZW0CMTEAAaYYVo3e2uJec62WUW4sq_lxfTbnwt0T7vgPg1M2dQCTDkBvTRT5cqSjXh0_aem_s8NFgcVNnuhbW1lfB5UV9g,(310) 287-0668,Restaurant,,,,,,,,
Rosalind's,"1044 S Fairfax Ave, Los Angeles, CA 90019",http://rosalindsla.com/,(323) 936-2486,Ethiopian restaurant,,,,,http://instagram.com/rosalindsrestaurant,https://www.facebook.com/rosalindsrestaurant,,
Malama Pono Restaurant,"13355 Ventura Blvd, Sherman Oaks, CA 91423, United States",http://www.malamaponorestaurant.com/,+1 747-264-1995,Seafood restaurant,,,,,https://www.instagram.com/malamaponorestaurant/,,,
Venice Bakery & Restaurant,"10943 Venice Blvd., Los Angeles, CA 90034",http://www.venicebakeryandrestaurant.com/,(310) 839-3478,Mexican restaurant,,venice_bakery@yahoo.com,,,https://www.instagram.com/venicebakery/,https://www.facebook.com/VeniceBakeryR/,,
Videre Rooftop Restaurant & Bar,"6317 Wilshire Blvd, Los Angeles, CA 90048",https://www.viderela.com/,(323) 852-6002,New American restaurant,,info@viderela.com,,https://www.viderela.com/careers,,,,
Little Tonis Restaurant,"4745 Lankershim Blvd, North Hollywood, CA 91602, United States",https://www.littletonis.com/,+1 818-763-0131,Italian restaurant,,contact@littletonis.com,,,https://www.instagram.com/little_tonis/,https://www.facebook.com/littletonis,,
Juquila Restaurant,"11619 Santa Monica Blvd, Los Angeles, CA 90025",https://restaurantejuquila.com/,(310) 312-1079,Mexican restaurant,,Contact@RestauranteJuquila.com; contact@restaurantejuquila.com,,,https://www.instagram.com/juquila_restaurantwla/,http://facebook.com/progression,http://twitter.com/progression_s,
Lalibela,"1025 S Fairfax Ave, Los Angeles, CA 90019",http://lalibelala.com/,(323) 965-1025,Ethiopian restaurant,,,,,https://www.instagram.com/lazada_id/,https://www.facebook.com/LazadaIndonesia,https://twitter.com/LazadaID,https://www.linkedin.com/company/lazada/
Palisades Garden Cafe,"15231 La Cruz Dr, Pacific Palisades, CA 90272",http://paligardencafe.com/,(310) 459-6160,Restaurant,,palisadesgardencafe@gmail.com,,http://paligardencafe.com/jobs,,https://www.facebook.com/Palisades,https://twitter.com/pgcgardencafe,
Carnival Restaurant,"4356 Woodman Ave, Sherman Oaks, CA 91423, United States",http://www.carnivaldine.com/,+1 818-784-3469,Lebanese restaurant,,info@carnivaldine.com,,,https://www.instagram.com/carnival_restaurant/,https://www.facebook.com/carnivalrest1,,
The Ramp Restaurant & Bar,"7730 N Hollywood Way, Burbank, CA 91505, United States",http://www.therampburbank.com/,+1 818-768-6499,Italian restaurant,,info@therampburbank.com,,,https://www.instagram.com/the.ramp.restaurant/,https://www.facebook.com/therampburbank/,,
Tender Greens,"9523 Culver Blvd, Culver City, CA 90232",https://www.tendergreens.com/locations/culver-city,(310) 842-8300,American restaurant,,,,,https://www.instagram.com/tendergreens,https://www.facebook.com/tendergreensfood,https://twitter.com/tendergreens,
Vitello's Restaurant,"4349 Tujunga Ave, Studio City, CA 91604, United States",https://www.vitellosrestaurant.com/,+1 818-769-0905,Italian restaurant,,,,,https://www.instagram.com/vitellosstudiocity/,facebook.com/vitellosrestaurant/,,
Carney's Restaurant,"12601 Ventura Blvd, Studio City, CA 91604, United States",http://www.carneytrain.com/,+1 818-761-8300,Hamburger restaurant,,,,,,,,
Madre Restaurant,"10426 National Blvd, Los Angeles, CA 90034",http://madrerestaurants.com/,(310) 559-4732,Mexican restaurant,,,,https://madre-oaxacalifornia.r365hire.com/,https://www.instagram.com/madre_losangeles/,https://www.facebook.com/madreOaxacan/,,
Farmshop,"225 26th St #25, Santa Monica, CA 90402",https://farmshopca.com/santa-monica/,(310) 566-2400,Restaurant,,catering@farmshopsm.com,,https://farmshopca.com/careers/,https://www.instagram.com/farmshopca/,,,
Quebobs Mediterranean Restaurant,"3560 S La Cienega Blvd suit F, Los Angeles, CA 90016",http://www.quebobs.com/,(323) 424-3556,Mediterranean restaurant,,,,,,,,
Flour Pizzeria & Cafe,"11684 San Vicente Blvd unit B, Los Angeles, CA 90049",https://flourpizzeria.com/?utm_source=google,(424) 330-0220,Pizza restaurant,,,,,,,,
Carmine's Restaurant & Bar,"10463 Santa Monica Blvd, Los Angeles, CA 90025",http://www.carminesla.com/,(310) 441-4706,Italian restaurant,,bossatcarmines@gmail.com; bossatcarmines@hotmail.com; filler@godaddy.com,,,https://www.instagram.com/carminesla,https://www.facebook.com/102189675662975,,
MONTE ALBAN RESTAURANT,"11929 Santa Monica Blvd, Los Angeles, CA 90025",https://montealbanrestaurant.com/?utm_source=google,(310) 444-7736,Mexican restaurant,,hofelia26@yahoo.com,,,https://www.instagram.com/montealbanrestaurant/,https://www.facebook.com/MonteAlbanRestaurant/,,
Good Neighbor Restaurant,"3701 Cahuenga Blvd W, Studio City, CA 91604, United States",http://www.goodneighborrestaurant.com/,+1 818-761-4627,Family restaurant,,,,,,https://www.facebook.com/goodneighbird,http://www.twitter.com/EggsAllDay,
Quiadaiyn Restaurant,"12326 Venice Blvd., Los Angeles, CA 90066",https://www.quiadaiyn.com/,(310) 313-7654,Mexican restaurant,,quiadaiynofficial@gmail.com,,,https://www.instagram.com/quiadaiyn/,,https://twitter.com/quiadaiyn,
Spruzzo Restaurant & Bar,"538 Palisades Dr, Los Angeles, CA 90272",http://spruzzopalisades.com/,(424) 426-5900,Italian restaurant,,admin@spruzzopalisades.com,,,https://www.instagram.com/spruzzopalisades/,,,
N10 Restaurant,"8436 W 3rd St, Los Angeles, CA 90048",https://www.n10restaurant.com/home,(323) 591-0599,Italian restaurant,,info@n10restaurant.com,,,https://www.instagram.com/n10losangeles/,https://www.facebook.com/n10restaurant,https://twitter.com/delpieroale,
AKASHA,"9543 Culver Blvd, Culver City, CA 90232",https://www.akasharestaurant.com/,(310) 845-1700,New American restaurant,,info@akasharestaurant.com,,,https://www.instagram.com/akashacc/,https://www.facebook.com/akasharestaurant,https://twitter.com/AkashaCC,
Sor Tino Restaurant,"908 S Barrington Ave, Los Angeles, CA 90049",http://www.sortinorestaurant.com/,(310) 442-8466,Italian restaurant,,info@sortinorestaurant.com; sortinola@gmail.com,,,https://www.instagram.com/sortinorestaurant/,,,
Alma oaxaqueña Restaurant,"10429 Venice Blvd., Los Angeles, CA 90034",http://almaoaxaquena.com/,(424) 298-8035,Mexican restaurant,,,,,,,,
Violet L.A.,"1121 Glendon Ave, Los Angeles, CA 90024",https://www.violetla.com/,(310) 208-1121,French restaurant,,,,,,,,
Baltaire Restaurant,"11647 San Vicente Blvd, Los Angeles, CA 90049",http://baltaire.com/?y_source=1_MTAwMjE5NTM4NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(424) 273-1660,Restaurant,,amber@baltaire.com; hello@baltaire.com,,,https://www.instagram.com/baltaire/,http://Facebook.com/baltaire,http://Twitter.com/baltairela,
Javan Restaurant,"11500 Santa Monica Blvd, Los Angeles, CA 90025",http://www.javanrestaurant.com/,(310) 207-5555,Mediterranean restaurant,,,,,https://www.instagram.com/javanrestaurantca/,https://www.facebook.com/JavanRestaurant,,
Poquito Más,"2215 Westwood Blvd, West Los Angeles, CA 90025",http://www.poquitomas.com/,(310) 474-1998,Mexican restaurant,,,,,https://www.instagram.com/poquitomas/,https://www.facebook.com/Poquito,https://twitter.com/poquitomas,
