Title,Address,Website,Phone,Category,HR_Best_Email,HR_Better_Email,Sales_Best_Email,Careers_Page,Instagram,Facebook,X_Twitter,LinkedIn
The Stand - American Classics Redefined,"5780 Canoga Ave, Woodland Hills, CA 91367",https://www.thestand.com/?y_source=1_MTI2NDE5MzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(818) 710-0400,Restaurant,,,,,http://www.instagram.com/thestandrestaurants,https://www.facebook.com/thestandrestaurants,,
Henri's Restaurant,"21601 Sherman Way, Canoga Park, CA 91303",Not found,(818) 348-5582,American restaurant,,,,Not found,,,,
Eureka!,"6250 CA-27, Woodland Hills, CA 91367",http://eurekarestaurantgroup.com/blog/locations/woodland-hills/,(818) 857-5544,American restaurant,,,,,,,,
Adagio Ristorante,"22841 Ventura Blvd, Woodland Hills, CA 91364",https://www.adagiowoodlandhills.com/,(818) 225-0533,Italian restaurant,,,,,,,,
Oliver Pepper,"20042 Ventura Blvd, Woodland Hills, CA 91364",https://olivepepper.com/?utm_source=google,(818) 220-2888,Mediterranean restaurant,,,,,,,,
Amazing Siam Thai restaurant,"18818 Ventura Blvd, Tarzana, CA 91356",http://amazingsiam.net/,(747) 265-6292,Thai restaurant,,,,https://tmt.spotapps.co/job-listings,https://www.instagram.com/milliesrestaurantvannuys,https://www.facebook.com/457003257486311,,
Othello's Plant Based Kitchen,"21789 Ventura Blvd, Woodland Hills, CA 91364",https://www.clover.com/online-ordering/othellos-plantbased-kit-los-angeles,(818) 436-2126,Restaurant,,,,https://tmt.spotapps.co/job-listings,https://www.instagram.com/milliesrestaurantvannuys,https://www.facebook.com/457003257486311,,
Kravings,"18663 Ventura Blvd, Tarzana, CA 91356",https://www.kravingsfusion.com/,(818) 881-7111,Brazilian restaurant,,info@theKravings.com; info@thekravings.com,,https://tmt.spotapps.co/job-listings,https://www.instagram.com/kravings/,https://www.facebook.com/457003257486311,,
Greystoke Grill Restaurant,"18395 Ventura Blvd, Tarzana, CA 91356",https://www.greystokegrills.com/,(818) 344-4350,American restaurant,,,,https://www.greystokegrills.com/careers,https://www.instagram.com/joeyrestaurants/,https://www.facebook.com/GreystokeGrill/,,
Deer's Restaurant,"13108 Sherman Way, North Hollywood, CA 91605",Not found,(818) 765-1401,Restaurant,,,,Not found,,,,
Millie's Restaurant & Bakery,"16840 Vanowen St, Van Nuys, CA 91406",http://milliesrestaurantandbakery.net/,(818) 785-3894,American restaurant,,,,http://milliesrestaurantandbakery.net/careers,https://www.instagram.com/milliesrestaurantvannuys,https://www.facebook.com/457003257486311,,
Ilopango Restaurant,"United #5, 8332 Sepulveda Blvd, North Hills, CA 91343",Not found,(818) 810-6228,Family restaurant,,,,Not found,,,,
The Local Peasant - Woodland Hills,"22901 Ventura Blvd, Woodland Hills, CA 91364",https://www.thelocalpeasant.com/,(818) 876-0105,American restaurant,,INFO@THELOCALPEASANT.COM,,https://www.thelocalpeasant.com/careers,http://www.instagram.com/thelocalpeasant,http://facebook.com/thelocalpeasant,http://twitter.com/thelocalpeasant,
Noosh Grill Restaurant,"Inside Valley Marketplace, 18345 Vanowen St, Reseda, CA 91335",https://nooshgrill.com/,(818) 996-2800,Restaurant,,,,,,,,
JOEY Woodland Hills,"6344 Topanga Canyon Blvd Suite #1010, Woodland Hills, CA 91367",https://joeyrestaurants.com/location/joey-woodland-hills,(818) 340-5639,Restaurant,,,,,https://www.instagram.com/joeyrestaurants/,https://www.facebook.com/JOEYRestaurants/,,
El Manguito Restaurant,"12650 Sherman Way # 19, North Hollywood, CA 91605",Not found,(818) 982-0907,Restaurant,,,,Not found,,,,
Sweet Home Mediterranean Restaurant,"6900 Reseda Blvd Unit H, Reseda, CA 91335",https://qrco.de/bfDScw,(818) 600-8202,Restaurant,,,,,,,,
Spumoni Restaurant,"14533 Ventura Blvd, Sherman Oaks, CA 91403",https://www.spumonirestaurants.com/,(818) 981-7218,Italian restaurant,,,,,https://www.instagram.com/spumonirestaurants/,https://www.facebook.com/spumonirestaurants/,,
Rustic Spoon Restaurant- Valley Village,"12500 Magnolia Blvd, Valley Village, CA 91607",https://www.rusticspoon.info/,(818) 358-3736,Thai restaurant,,,,,https://www.instagram.com/malamaponorestaurant/?hl=en,,,
Le Reve Restaurant,"6304 Laurel Canyon Blvd, North Hollywood, CA 91606",Not found,(818) 766-4100,Restaurant,,,,Not found,,,,
Blai restaurant,"5780 Canoga Ave Suite B, Woodland Hills, CA 91367",https://www.blaithai.com/,(747) 242-1112,Thai restaurant,,,,,,,,
Corner Grille,"8261 Sepulveda Blvd, Van Nuys, CA 91402",https://cornergrillepc.com/,(818) 810-6396,Asian fusion restaurant,,,,https://cornergrillepc.com/galpin-careers/,https://www.instagram.com/horselesscarriage/,https://www.facebook.com/GalpinMotors,https://twitter.com/galpinmotors,
Malama Pono Restaurant,"13355 Ventura Blvd, Sherman Oaks, CA 91423",http://www.malamaponorestaurant.com/,(747) 264-1995,Seafood restaurant,,,,http://www.malamaponorestaurant.com/galpin-careers/,https://www.instagram.com/malamaponorestaurant/,https://www.facebook.com/GalpinMotors,https://twitter.com/galpinmotors,
Carney's Restaurant,"12601 Ventura Blvd, Studio City, CA 91604",http://www.carneytrain.com/,(818) 761-8300,Hamburger restaurant,,,,http://www.carneytrain.com/galpin-careers/,https://www.instagram.com/horselesscarriage/,https://www.facebook.com/GalpinMotors,https://twitter.com/galpinmotors,
Stanley's Restaurant,"4336 Van Nuys Blvd, Sherman Oaks, CA 91403",http://www.stanleysshermanoaks.com/,(818) 453-8025,Californian restaurant,,,,http://www.stanleysshermanoaks.com/galpin-careers/,https://www.instagram.com/stanleysrestaurant/,http://www.facebook.com/StanleysRestaurant,https://twitter.com/Stanleys83,
Horseless Carriage Restaurant,"15505 Roscoe Blvd, North Hills, CA 91343",https://www.galpin.com/horselesscarriage/?utm_source=Google&utm_medium=Business%20Profile%20Manager&utm_campaign=page,(818) 722-6167,American restaurant,,INFO@THELOCALPEASANT.COM,,,https://www.instagram.com/horselesscarriage/,https://www.facebook.com/GalpinMotors,https://twitter.com/galpinmotors,
Carnival Restaurant,"4356 Woodman Ave, Sherman Oaks, CA 91423",http://www.carnivaldine.com/,(818) 784-3469,Lebanese restaurant,,INFO@THELOCALPEASANT.COM; info@carnivaldine.com,,,https://www.instagram.com/carnival_restaurant/,https://www.facebook.com/carnivalrest1,http://twitter.com/thelocalpeasant,
The Rancherito,"6455 Woodman Ave, Van Nuys, CA 91401",http://orderelrancheritomex-restaurant.mobile-webview7.com/,(818) 994-7715,Mexican restaurant,jobs@themenustar.com,,,,,,,
Le Petit Restaurant,"13360 Ventura Blvd, Sherman Oaks, CA 91423",http://www.lepetitrestaurant.net/,(818) 501-7999,French restaurant,,info@lepetitrestaurant.net,,,,,,
The Local Peasant - Sherman Oaks Restaurant and Bar,"14058 Ventura Blvd, Sherman Oaks, CA 91423",https://www.thelocalpeasant.com/,(818) 501-0234,American restaurant,,INFO@THELOCALPEASANT.COM,,,http://www.instagram.com/thelocalpeasant,http://facebook.com/thelocalpeasant,http://twitter.com/thelocalpeasant,
Zig's Restaurant,"6821 White Oak Ave, Reseda, CA 91335",http://www.zigsreseda.com/,(818) 343-3679,American restaurant,,,,,,,,
Lulu's Restaurant and Sports Bar,"16900 Roscoe Blvd, Van Nuys, CA 91406",https://www.lulusrestaurant.com/,(818) 988-0707,Californian restaurant,,,,,,,,
Little Siam Restaurant,"22811 Saticoy St, West Hills, CA 91304",http://www.littlesiamwesthills.com/,(818) 340-6462,Thai restaurant,,,,,,,,
Davenport's Restaurant,"16120 Ventura Blvd, Encino, CA 91436",https://davenportsrestaurant.com/,(818) 855-1203,Restaurant,,,,,,,,
