Title,Address,Website,Phone,Category,Apify_Emails,HR_Best_Email,HR_Better_Email,Sales_Best_Email,Careers_Page,Instagram,Facebook,X_Twitter,LinkedIn
J.Trani's Ristorante,"584 W 9th St, San Pedro, CA 90731",https://www.jtrani.com/,(310) 832-1220,Italian restaurant,,,I@m\ZH,,,,https://www.facebook.com/pages/J-Tranis-Ristorante/218515041510587?ref=br_rs,https://twitter.com/JTranis,
Kalaveras,"383 W 5th St, San Pedro, CA 90731",https://www.kalaveras.com/,(424) 264-5454,Mexican restaurant,,,,,https://kalaveras.com/burbank/; https://www.kalaveras.com/; https://kalaveras.com/moreno-valley/; https://kalaveras.com/bellflower/; https://kalaveras.com/chula-vista/; https://kalaveras.com/; https://www.kalaveras.com/#content; https://kalaveras.com/marina-del-rey/; https://kalaveras.com/corona/; https://kalaveras.com/newport-beach/; https://kalaveras.com/escondido/; https://kalaveras.com/long-beach/; https://kalaveras.com/fullerton/; https://kalaveras.com/huntington-beach/; https://kalaveras.com/montebello/,https://www.instagram.com/p/DLGzi-8Rgpn/,https://www.facebook.com/kalaverasrestaurant/,,
San Pedro Brewing Company,"331 W 6th St, San Pedro, CA 90731",http://sanpedrobrewing.com/,(310) 831-5663,Brewpub,jbbeer@msn.com,,,,,https://www.instagram.com/sanpedrobrewingco,https://www.facebook.com/117693451590826,,
Busy Bee Market,"2413 S Walker Ave, San Pedro, CA 90731",http://busybeemarket.juisyfood.com/,(310) 832-8660,Sandwich shop,,,,,,,,,
Shore Grille,"1637 W 25th St, San Pedro, CA 90732",https://www.theshoregrille.com/,(310) 832-7427,Restaurant,customerservice@theshoregrille.com,,,,,https://www.instagram.com/shoregrille/,https://www.facebook.com/theshoregrille/,,
Trani's Dockside Station,"311 E 22nd St, San Pedro, CA 90731",http://www.tranisdockside.com/,(310) 833-1188,Seafood restaurant,info@tranisdockside.com,,,,,,https://www.facebook.com/pages/J-Tranis-Restaurant-Tranis-Dockside-Station-105646575406739/105646575406739/,,
San Pedro Fish Market and Restaurant,"706 S Harbor Blvd, San Pedro, CA 90731",https://www.sanpedrofish.com/locations/#sanpedro,(310) 832-4251,Seafood restaurant,,,,,,https://instagram.com/sanpedrofish,https://www.facebook.com/sanpedrofish,https://twitter.com/sanpedrofish,
Seaside Bistro,"1420 W 25th St Unit A, San Pedro, CA 90732",https://sidebistro.com/,(310) 548-4797,Restaurant,,,,,,,,,
Deer's Restaurant,"13108 Sherman Way, North Hollywood, CA 91605",Not found,(818) 765-1401,Restaurant,,Not found,Not found,Not found,Not found,,,,
Millie's Restaurant & Bakery,"16840 Vanowen St, Van Nuys, CA 91406",http://milliesrestaurantandbakery.net/,(818) 785-3894,American restaurant,milliesrestaurantvannuys@gmail.com,,,,http://milliesrestaurantandbakery.net/; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-happy-hours-specials; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-party#content; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-party; http://milliesrestaurantandbakery.net/accessibility-page-01; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-catering; http://milliesrestaurantandbakery.net/#content; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-food-menu#content; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-drink-menu#content; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-drink-menu; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-events#content; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-events; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-catering#content; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-food-menu; http://milliesrestaurantandbakery.net/los-angeles-van-nuys-millie-s-restaurant-and-bakery-happy-hours-specials#content,https://www.instagram.com/milliesrestaurantvannuys,https://www.facebook.com/457003257486311,,
Ilopango Restaurant,"United #5, 8332 Sepulveda Blvd, North Hills, CA 91343",Not found,(818) 810-6228,Family restaurant,,Not found,Not found,Not found,Not found,,,,
El Manguito Restaurant,"12650 Sherman Way # 19, North Hollywood, CA 91605",Not found,(818) 982-0907,Restaurant,,Not found,Not found,Not found,Not found,,,,
Greystoke Grill Restaurant,"18395 Ventura Blvd, Tarzana, CA 91356",https://www.greystokegrills.com/,(818) 344-4350,American restaurant,carmonano@aol.com,,,,,,https://www.facebook.com/GreystokeGrill/,,
22nd St. Landing Seafood Grill & Bar,"141 W 22nd St Ste A, San Pedro, CA 90731",http://22ndstlandingrestaurant.com/,(310) 548-4400,Seafood restaurant,,,,,http://22ndstlandingrestaurant.com/brunchmenu; http://22ndstlandingrestaurant.com/banquetphotos; http://22ndstlandingrestaurant.com/careers; http://22ndstlandingrestaurant.com/gallery; http://22ndstlandingrestaurant.com/banquetrequest; http://22ndstlandingrestaurant.com/kids-menu; http://22ndstlandingrestaurant.com/banquet-facilities; http://22ndstlandingrestaurant.com/gift-cards; http://22ndstlandingrestaurant.com/local-attractions; http://22ndstlandingrestaurant.com/history; http://22ndstlandingrestaurant.com/lunchmenu; http://22ndstlandingrestaurant.com/winemenu; http://22ndstlandingrestaurant.com/; http://22ndstlandingrestaurant.com/dessert-menu; http://22ndstlandingrestaurant.com/dinnermenu,https://www.instagram.com/22ndst.landingrestaurant/,https://www.facebook.com/22ndstlandingrestaurant,,
San Pedro Cafe,"605 S Pacific Ave, San Pedro, CA 90731",https://www.welovespc.com/,(310) 547-0961,Breakfast restaurant,welovespc@gmail.com,,,,https://www.welovespc.com/#comp-jn3rv66z; https://www.welovespc.com/about; https://www.welovespc.com/#comp-j6r3djqr; https://www.welovespc.com/; https://www.welovespc.com; https://www.welovespc.com/#comp-kc14acpx; https://www.welovespc.com/#comp-j6r3ojg3; https://www.welovespc.com/#comp-j6r3q4tb; https://www.welovespc.com/#comp-j6gr1lg0; https://www.welovespc.com/#comp-j6gr1lfn; https://www.welovespc.com/#comp-j6gr1lev; https://www.welovespc.com/#comp-j6r3dm8l; https://www.welovespc.com/full-menu; https://www.welovespc.com/join-us,https://www.instagram.com/welovespc,https://www.facebook.com/welovespc,,
Raffaello Ristorante,"457 W 7th St, San Pedro, CA 90731",https://www.raffaelloristorante.com/,(310) 514-0900,Italian restaurant,,,,,,,,,
Spumoni Restaurant,"14533 Ventura Blvd, Sherman Oaks, CA 91403",https://www.spumonirestaurants.com/,(818) 981-7218,Italian restaurant,,,,,,https://www.instagram.com/spumonirestaurants/,https://www.facebook.com/spumonirestaurants/,,
Corner Grille,"8261 Sepulveda Blvd, Van Nuys, CA 91402",https://cornergrillepc.com/,(818) 810-6396,Asian fusion restaurant,,,,,,,,,
Jefe's Cocina,"726 S Pacific Ave, San Pedro, CA 90731",https://www.toasttab.com/jefes-cocina,(310) 684-1139,Mexican restaurant,,,,,,,,,
Think Cafe,"302 W 5th St UNIT 105, San Pedro, CA 90731",https://www.thinkcafesanpedro.com/,(310) 519-3662,American restaurant,,,,,,https://www.instagram.com/wix/,https://www.facebook.com/WixStudio,https://twitter.com/WixStudio,https://www.linkedin.com/company/wix-com
Le Reve Restaurant,"6304 Laurel Canyon Blvd, North Hollywood, CA 91606",Not found,(818) 766-4100,Restaurant,,Not found,Not found,Not found,Not found,,,,
Carney's Restaurant,"12601 Ventura Blvd, Studio City, CA 91604",http://www.carneytrain.com/,(818) 761-8300,Hamburger restaurant,,,,,,,,,
Le Petit Restaurant,"13360 Ventura Blvd, Sherman Oaks, CA 91423",http://www.lepetitrestaurant.net/,(818) 501-7999,French restaurant,info@lepetitrestaurant.net,,,,,,,,
The Local Peasant - Sherman Oaks Restaurant and Bar,"14058 Ventura Blvd, Sherman Oaks, CA 91423",https://www.thelocalpeasant.com/,(818) 501-0234,American restaurant,INFO@THELOCALPEASANT.COM,,,,https://www.thelocalpeasant.com/join-the-team,http://www.instagram.com/thelocalpeasant,http://facebook.com/thelocalpeasant,http://twitter.com/thelocalpeasant,
Carnival Restaurant,"4356 Woodman Ave, Sherman Oaks, CA 91423",http://www.carnivaldine.com/,(818) 784-3469,Lebanese restaurant,info@carnivaldine.com,,,,,https://www.instagram.com/carnival_restaurant/,https://www.facebook.com/carnivalrest1,,
Stanley's Restaurant,"4336 Van Nuys Blvd, Sherman Oaks, CA 91403",http://www.stanleysshermanoaks.com/,(818) 453-8025,Californian restaurant,stanley@stanleysshermanoaks.com,,,,,https://www.instagram.com/stanleysrestaurant/,http://www.facebook.com,https://twitter.com/Stanleys83,
The Rancherito,"6455 Woodman Ave, Van Nuys, CA 91401",http://orderelrancheritomex-restaurant.mobile-webview7.com/,(818) 994-7715,Mexican restaurant,support@themenustar.com; jobs@themenustar.com,,,,http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720192; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720162; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720169; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720172; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720190; http://orderelrancheritomex-restaurant.mobile-webview7.com/; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720174; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720177; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720164; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720180; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720182; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720185; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720167; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720159; http://orderelrancheritomex-restaurant.mobile-webview7.com/#vc_images-carousel-1-1750720187,,,,
Noosh Grill Restaurant,"Inside Valley Marketplace, 18345 Vanowen St, Reseda, CA 91335",https://nooshgrill.com/,(818) 996-2800,Restaurant,,,,,,,,,
Lulu's Restaurant and Sports Bar,"16900 Roscoe Blvd, Van Nuys, CA 91406",https://www.lulusrestaurant.com/,(818) 988-0707,Californian restaurant,,,,,,,,,
Horseless Carriage Restaurant,"15505 Roscoe Blvd, North Hills, CA 91343",https://www.galpin.com/horselesscarriage/?utm_source=Google&utm_medium=Business%20Profile%20Manager&utm_campaign=page,(818) 722-6167,American restaurant,,,,,https://www.galpin.com/inventory/new-vehicles/models-Mazda/; https://www.galpin.com/inventory/new-vehicles/models-Honda/; https://www.galpin.com/inventory/new-vehicles/models-Ford/; https://www.galpin.com/inventory/new-vehicles/models-Lotus/; https://www.galpin.com/sell-it-at-galpin/; https://www.galpin.com; https://www.galpin.com/hours-directions/; https://www.galpin.com/inventory/used-vehicles/; https://www.galpin.com/inventory/new-vehicles/models-Jaguar/; https://www.galpin.com/horselesscarriage/?utm_source=Google&utm_medium=Business%20Profile%20Manager&utm_campaign=page; https://www.galpin.com/used-car-center/; https://www.galpin.com/inventory/new-vehicles/; https://www.galpin.com/inventory/new-vehicles/models-Land_Rover/; https://www.galpin.com/inventory/new-vehicles/models-Aston_Martin/; https://www.galpin.com/why-galpin/,https://www.instagram.com/horselesscarriage/,https://www.facebook.com/TheHorselessCarriage/,https://twitter.com/galpinmotors,
Sweet Home Mediterranean Restaurant,"6900 Reseda Blvd Unit H, Reseda, CA 91335",https://qrco.de/bfDScw,(818) 600-8202,Restaurant,,,,,,,https://www.facebook.com/sharer/sharer.php?u=https://qrco.de/bfDScw?trackSharing=1,https://twitter.com/share?url=https://qrco.de/bfDScw?trackSharing=1,
Rustic Spoon Restaurant- Valley Village,"12500 Magnolia Blvd, Valley Village, CA 91607",https://www.rusticspoon.info/,(818) 358-3736,Thai restaurant,,,,,,,,,
Davenport's Restaurant,"16120 Ventura Blvd, Encino, CA 91436",https://davenportsrestaurant.com/,(818) 855-1203,Restaurant,nigel@davenportsrestaurant.com,,,,,,,,
